Mixture	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells	P-value	Correlation	RMSE
W070517001156	0.06458060877052045	0.71165941526411092	0.17479613506949557	0.00000000000000000	0.01431537623616630	0.03464846465970684	9999.00000000000000000	0.85116085446615741	0.86533410847905834
W070517001157	0.00000000000000000	0.32978301181339337	0.50674708037047400	0.00000000000000000	0.08018259061060905	0.08328731720552363	9999.00000000000000000	0.79557946494952936	0.61214154994274173
W070517001159	0.00826352042456490	0.64014557761814816	0.12450071480620502	0.00000000000000000	0.08890411341246948	0.13818607373861241	9999.00000000000000000	0.77109273225730290	0.90052261446510251
W070517001160	0.00000000000000000	0.38059965604487400	0.49070018373895008	0.00000000000000000	0.04855975938439122	0.08014040083178467	9999.00000000000000000	0.75012083049735245	0.69793501793374479
W070517001161	0.15125954837263814	0.54396112056722834	0.12825042064509323	0.06422057293776869	0.04576685083037104	0.06654148664690035	9999.00000000000000000	0.85711594595507801	0.64181132262183160
W070517001162	0.06083232640238847	0.29369852480053732	0.47074780221183093	0.00381719568602124	0.06722297847683587	0.10368117242238607	9999.00000000000000000	0.84290062078350836	0.53825753645406627
W070517102034	0.04453715214738957	0.28912507707480767	0.51104329121055714	0.00000000000000000	0.08023277583236589	0.07506170373487979	9999.00000000000000000	0.82923532110675391	0.55897553240007714
W070517102035	0.02395192797885611	0.47608284437986398	0.41076975244095459	0.00000000000000000	0.03945412229330428	0.04974135290702088	9999.00000000000000000	0.75884159798578743	0.75138266663886943
W070517102036	0.13812549715208619	0.50297710072284196	0.28076938282058184	0.00209315625215515	0.04550894428512489	0.03052591876721000	9999.00000000000000000	0.87509173253873240	0.57160902887148934
W070517102037	0.08468820361744135	0.29283877950764958	0.46326221557345892	0.00984637519877221	0.08436926446331371	0.06499516163936420	9999.00000000000000000	0.87910838019343207	0.48025553830712270
W070517102038	0.03996906954408718	0.33209759894536922	0.38801465274182034	0.02794288032311112	0.12133547887268936	0.09064031957292262	9999.00000000000000000	0.79146357526583744	0.61711459720785644
W070517102051	0.00737951428237876	0.61794270627317238	0.23807869407497678	0.00000000000000000	0.03253586047257657	0.10406322489689530	9999.00000000000000000	0.83838609609669912	0.76774300225162151
