diff	method	para
0.0971535646582166	alpha_1	simulation6
0.0157758425606935	alpha_1	simulation6
-0.00408492250563661	alpha_1	simulation6
-0.0496626714450406	alpha_1	simulation6
-0.0358126484515081	alpha_1	simulation6
-0.0778909627218376	alpha_1	simulation6
-0.198040324209054	alpha_1	simulation6
0.00734237438622186	alpha_1	simulation6
0.0719369685730871	alpha_1	simulation6
-0.066304288633649	alpha_1	simulation6
-0.016318983317113	alpha_1	simulation6
-0.00114088482082414	alpha_1	simulation6
-0.0856130724659091	alpha_1	simulation6
-0.0740500128647343	alpha_1	simulation6
-0.0572602502273747	alpha_1	simulation6
-0.0452314260346829	alpha_1	simulation6
0.0752887108503719	alpha_1	simulation6
0.0239609847050289	alpha_1	simulation6
-0.0597579896096324	alpha_1	simulation6
-0.104939764864127	alpha_1	simulation6
-0.0797581980421692	alpha_1	simulation6
-0.0660470048036778	alpha_1	simulation6
-0.0306487047073803	alpha_1	simulation6
-0.0392921557601291	alpha_1	simulation6
0.072989149834511	alpha_1	simulation6
0.0235653805777193	alpha_1	simulation6
-0.0812629455983202	alpha_1	simulation6
-0.104532816594875	alpha_1	simulation6
-0.0696741344851212	alpha_1	simulation6
-0.055696326714542	alpha_1	simulation6
-0.0260504343438338	alpha_1	simulation6
-0.0440326937011914	alpha_1	simulation6
0.0707438558292361	alpha_1	simulation6
-0.0710984215717061	alpha_1	simulation6
-0.0293927253501854	alpha_1	simulation6
0.017576877376924	alpha_1	simulation6
-0.0629650579872994	alpha_1	simulation6
-0.0691350084011026	alpha_1	simulation6
-0.104546987828182	alpha_1	simulation6
-0.0164531560614921	alpha_1	simulation6
0.0573329901707176	alpha_1	simulation6
-0.117061289075496	alpha_1	simulation6
-0.0260610453305619	alpha_1	simulation6
0.0471272736951197	alpha_1	simulation6
-0.0849078969807542	alpha_1	simulation6
-0.0636771472603079	alpha_1	simulation6
-0.0459207068981571	alpha_1	simulation6
-0.0461340559846493	alpha_1	simulation6
0.0980119759531729	alpha_1	simulation6
0.0174189398573945	alpha_1	simulation6
-0.0141632322187916	alpha_1	simulation6
-0.0602175055755996	alpha_1	simulation6
-0.0449807001712399	alpha_1	simulation6
-0.0767274660498942	alpha_1	simulation6
-0.178313012570242	alpha_1	simulation6
0.00973131373448388	alpha_1	simulation6
0.0991263502229123	alpha_1	simulation6
0.0104950097596177	alpha_1	simulation6
-0.0094022674651781	alpha_1	simulation6
-0.0445734306514227	alpha_1	simulation6
-0.0426496451821238	alpha_1	simulation6
-0.0774401052639674	alpha_1	simulation6
-0.186551164251921	alpha_1	simulation6
0.00398554350708905	alpha_1	simulation6
0.0855885904283735	alpha_1	simulation6
0.0264649259539205	alpha_1	simulation6
-0.0443658096684244	alpha_1	simulation6
-0.0800224226101768	alpha_1	simulation6
-0.0630750182431384	alpha_1	simulation6
-0.0662279945625133	alpha_1	simulation6
-0.109474794350804	alpha_1	simulation6
-0.0133514478760369	alpha_1	simulation6
0.0936714905862096	alpha_1	simulation6
0.0308306920222165	alpha_1	simulation6
-0.0382211794230325	alpha_1	simulation6
-0.0778803563244107	alpha_1	simulation6
-0.0610278936048771	alpha_1	simulation6
-0.0683724655353738	alpha_1	simulation6
-0.129554704781741	alpha_1	simulation6
-0.0092525478478227	alpha_1	simulation6
0.0960841535094397	alpha_1	simulation6
0.00954107967124176	alpha_1	simulation6
-0.00171358338460483	alpha_1	simulation6
-0.0418999493257425	alpha_1	simulation6
-0.0376859448912972	alpha_1	simulation6
-0.0767311092834906	alpha_1	simulation6
-0.203192071828555	alpha_1	simulation6
0.0104941788143071	alpha_1	simulation6
0.0759590236412099	alpha_1	simulation6
-0.0380410647302733	alpha_1	simulation6
-0.0164166915381593	alpha_1	simulation6
-0.0343019446308111	alpha_1	simulation6
-0.0506318930731945	alpha_1	simulation6
-0.066044056302774	alpha_1	simulation6
-0.113471958837975	alpha_1	simulation6
-0.0246854121134081	alpha_1	simulation6
0.100166504931302	alpha_1	simulation6
0.00699163378910131	alpha_1	simulation6
0.00560937447238803	alpha_1	simulation6
-0.0441493605458107	alpha_1	simulation6
-0.0352059086091907	alpha_1	simulation6
-0.0765580604932371	alpha_1	simulation6
-0.210505781761253	alpha_1	simulation6
0.00980865133898889	alpha_1	simulation6
0.0857403715215882	alpha_1	simulation6
-0.00244894955441902	alpha_1	simulation6
-0.00448521502407367	alpha_1	simulation6
-0.0379943686660519	alpha_1	simulation6
-0.0329120282782114	alpha_1	simulation6
-0.0773718031405184	alpha_1	simulation6
-0.184278152611243	alpha_1	simulation6
0.00628466776347154	alpha_1	simulation6
0.0943787282826587	alpha_1	simulation6
0.0107364514220418	alpha_1	simulation6
-0.00799224609896759	alpha_1	simulation6
-0.0472438858796907	alpha_1	simulation6
-0.0388145682589999	alpha_1	simulation6
-0.0743380890343259	alpha_1	simulation6
-0.190199493838832	alpha_1	simulation6
0.00570323061946987	alpha_1	simulation6
0.0773702946409355	alpha_1	simulation6
-0.0309279231676751	alpha_1	simulation6
0.0641422339931861	alpha_1	simulation6
-0.0899599110502263	alpha_1	simulation6
-0.0906603961772459	alpha_1	simulation6
-0.102051745863506	alpha_1	simulation6
-0.00467184182131889	alpha_1	simulation6
-0.110234898956472	alpha_1	simulation6
0.0884190189668924	alpha_1	simulation6
0.0165952244832932	alpha_1	simulation6
-0.0119054911090185	alpha_1	simulation6
-0.0845311696874243	alpha_1	simulation6
-0.0692700605281397	alpha_1	simulation6
-0.0769422794682645	alpha_1	simulation6
-0.0938917856834154	alpha_1	simulation6
-0.0354975976432453	alpha_1	simulation6
0.102019953657282	alpha_1	simulation6
0.00812026378324915	alpha_1	simulation6
0.00873071914696989	alpha_1	simulation6
-0.0406611694156037	alpha_1	simulation6
-0.0320744206315034	alpha_1	simulation6
-0.0807131384041542	alpha_1	simulation6
-0.222410871764522	alpha_1	simulation6
0.0169396407567789	alpha_1	simulation6
0.0614246693482415	alpha_1	simulation6
-0.0410167834745666	alpha_1	simulation6
-0.0461678110034624	alpha_1	simulation6
-0.0587624034866289	alpha_1	simulation6
-0.0210159538995054	alpha_1	simulation6
-0.0399362976023186	alpha_1	simulation6
-0.0989310061961425	alpha_1	simulation6
-0.038015578628506	alpha_1	simulation6
0.0908282631124323	alpha_1	simulation6
-0.0191352663077308	alpha_1	simulation6
0.0471120374420323	alpha_1	simulation6
-0.0607196208040539	alpha_1	simulation6
-0.061316527940845	alpha_1	simulation6
-0.094373885487889	alpha_1	simulation6
-0.113084727162381	alpha_1	simulation6
-0.0530358717289924	alpha_1	simulation6
0.0914230261782187	alpha_1	simulation6
-0.017047486651455	alpha_1	simulation6
0.0168548087382543	alpha_1	simulation6
-0.0385017124965804	alpha_1	simulation6
-0.0556640024116373	alpha_1	simulation6
-0.0839916240289211	alpha_1	simulation6
-0.148588180765394	alpha_1	simulation6
-0.0209908758059944	alpha_1	simulation6
0.0848792718727672	alpha_1	simulation6
-0.0135093804542055	alpha_1	simulation6
0.0077232194154891	alpha_1	simulation6
-0.0432534405196036	alpha_1	simulation6
-0.0457634623378867	alpha_1	simulation6
-0.0674653503076418	alpha_1	simulation6
-0.173922209985204	alpha_1	simulation6
-0.00420516699905986	alpha_1	simulation6
0.0805743093601628	alpha_1	simulation6
0.00817242437954402	alpha_1	simulation6
-0.0388149347494733	alpha_1	simulation6
-0.0879810772219242	alpha_1	simulation6
-0.0691493287480732	alpha_1	simulation6
-0.0608710860438062	alpha_1	simulation6
-0.0736019580165214	alpha_1	simulation6
-0.0342753975122414	alpha_1	simulation6
0.0592849193068048	alpha_1	simulation6
-0.105090922548214	alpha_1	simulation6
-0.0660605464302902	alpha_1	simulation6
0.0556012755233979	alpha_1	simulation6
-0.0804153562862081	alpha_1	simulation6
-0.0596875916498397	alpha_1	simulation6
-0.0601796943525812	alpha_1	simulation6
-0.0186636622787384	alpha_1	simulation6
0.0915385907884388	alpha_1	simulation6
-0.011959203635325	alpha_1	simulation6
0.0247972203187549	alpha_1	simulation6
-0.0497702023992648	alpha_1	simulation6
-0.059265705275017	alpha_1	simulation6
-0.0890201924851719	alpha_1	simulation6
-0.132897146295895	alpha_1	simulation6
-0.0308028883313511	alpha_1	simulation6
0.0794917473843873	alpha_1	simulation6
0.00897448958668035	alpha_1	simulation6
-0.017458231502434	alpha_1	simulation6
-0.0995439441461509	alpha_1	simulation6
-0.0855141270348394	alpha_1	simulation6
-0.0788129416595418	alpha_1	simulation6
-0.0254024428109391	alpha_1	simulation6
-0.0644917066487743	alpha_1	simulation6
0.0917210418207681	alpha_1	simulation6
0.0123570869214753	alpha_1	simulation6
-0.0111851321873633	alpha_1	simulation6
-0.0585678899153769	alpha_1	simulation6
-0.0475984993118762	alpha_1	simulation6
-0.0762246681430841	alpha_1	simulation6
-0.157965918893276	alpha_1	simulation6
-0.00710621698305832	alpha_1	simulation6
0.0951173608283178	alpha_1	simulation6
0.00945215279331102	alpha_1	simulation6
-0.0117273018607116	alpha_1	simulation6
-0.0666195982678491	alpha_1	simulation6
-0.061630590410583	alpha_1	simulation6
-0.0769888703236009	alpha_1	simulation6
-0.1280232255332	alpha_1	simulation6
-0.0194835283182181	alpha_1	simulation6
0.0806573298547665	alpha_1	simulation6
-0.00123747867256691	alpha_1	simulation6
-0.0632454483763578	alpha_1	simulation6
-0.0763339523539701	alpha_1	simulation6
-0.0463522631719228	alpha_1	simulation6
-0.0631141586073495	alpha_1	simulation6
-0.0738116733458039	alpha_1	simulation6
-0.0331853794888765	alpha_1	simulation6
0.0778533613521362	alpha_1	simulation6
-0.0432289445353475	alpha_1	simulation6
-0.0231248685532407	alpha_1	simulation6
-0.0133267127143671	alpha_1	simulation6
-0.0456994230757268	alpha_1	simulation6
-0.0670580972694366	alpha_1	simulation6
-0.134782320860279	alpha_1	simulation6
-0.0132783224353307	alpha_1	simulation6
0.0935830437609532	alpha_1	simulation6
0.0055701432676894	alpha_1	simulation6
-0.0161641322448296	alpha_1	simulation6
-0.0458502516124425	alpha_1	simulation6
-0.0480914738167232	alpha_1	simulation6
-0.0701236677688626	alpha_1	simulation6
-0.177810972287343	alpha_1	simulation6
0.00760991775699898	alpha_1	simulation6
0.0774389391159753	alpha_1	simulation6
-0.0594832624086982	alpha_1	simulation6
0.0766330133782616	alpha_1	simulation6
-0.0601245246242183	alpha_1	simulation6
-0.0920281972795335	alpha_1	simulation6
-0.107592285798509	alpha_1	simulation6
-0.013186602567952	alpha_1	simulation6
-0.105513270695286	alpha_1	simulation6
0.0854673397840247	alpha_1	simulation6
-0.0051462178110589	alpha_1	simulation6
-0.0383515639836477	alpha_1	simulation6
-0.0667624003123323	alpha_1	simulation6
-0.0573166208385514	alpha_1	simulation6
-0.0649810600513562	alpha_1	simulation6
-0.097289783174305	alpha_1	simulation6
-0.0244537956651123	alpha_1	simulation6
0.0768984789673122	alpha_1	simulation6
-0.0199364833474517	alpha_1	simulation6
-0.0527062778660202	alpha_1	simulation6
-0.0384464500335877	alpha_1	simulation6
-0.0523168893906309	alpha_1	simulation6
-0.0631501152777489	alpha_1	simulation6
-0.0962074226931682	alpha_1	simulation6
-0.0241741741361291	alpha_1	simulation6
0.0577773224420158	alpha_1	simulation6
-0.0785665273397468	alpha_1	simulation6
-0.0543592701095188	alpha_1	simulation6
-0.015759032533897	alpha_1	simulation6
-0.0481670884941596	alpha_1	simulation6
-0.0645737395667927	alpha_1	simulation6
-0.0397262701277416	alpha_1	simulation6
-0.0411977247386287	alpha_1	simulation6
0.0922980810087786	alpha_1	simulation6
0.00962431709376954	alpha_1	simulation6
0.00138300864119895	alpha_1	simulation6
-0.0567232812144245	alpha_1	simulation6
-0.051499282393935	alpha_1	simulation6
-0.0829085806435375	alpha_1	simulation6
-0.15585204732574	alpha_1	simulation6
-0.0106899681103361	alpha_1	simulation6
0.0788223955975428	alpha_1	simulation6
0.021805706812501	alpha_1	simulation6
-0.0724771937006165	alpha_1	simulation6
-0.0948908658923859	alpha_1	simulation6
-0.0740108582137896	alpha_1	simulation6
-0.0540899739911931	alpha_1	simulation6
-0.0564298664559141	alpha_1	simulation6
-0.0277095942290631	alpha_1	simulation6
0.0864462629287196	alpha_1	simulation6
-0.0171166464138756	alpha_1	simulation6
-0.0196296589430111	alpha_1	simulation6
-0.0172385951590105	alpha_1	simulation6
-0.0442514432322211	alpha_1	simulation6
-0.0756223923792192	alpha_1	simulation6
-0.175732057396144	alpha_1	simulation6
0.0124134706845549	alpha_1	simulation6
0.0883717331521982	alpha_1	simulation6
0.0347992568769586	alpha_1	simulation6
-0.0551052403145235	alpha_1	simulation6
-0.0908134831471995	alpha_1	simulation6
-0.0656777587993123	alpha_1	simulation6
-0.064612500355626	alpha_1	simulation6
-0.0969829277296193	alpha_1	simulation6
-0.0177423629158549	alpha_1	simulation6
0.0772090723507806	alpha_1	simulation6
-0.0536415152156544	alpha_1	simulation6
0.0219283480040538	alpha_1	simulation6
-0.0311975135613011	alpha_1	simulation6
-0.0672049904474231	alpha_1	simulation6
-0.0870762188631201	alpha_1	simulation6
-0.0747813970300564	alpha_1	simulation6
-0.0574354606523941	alpha_1	simulation6
0.0897518928428578	alpha_1	simulation6
0.0367601181117468	alpha_1	simulation6
-0.0531660768408482	alpha_1	simulation6
-0.0963726081172252	alpha_1	simulation6
-0.07503821440122	alpha_1	simulation6
-0.0672977967644806	alpha_1	simulation6
-0.0874252952171803	alpha_1	simulation6
-0.0150145636092689	alpha_1	simulation6
0.0693133831372263	alpha_1	simulation6
-0.085086469120517	alpha_1	simulation6
0.0177582369801392	alpha_1	simulation6
-0.0178562710581104	alpha_1	simulation6
-0.0637348012810955	alpha_1	simulation6
-0.0833810853203574	alpha_1	simulation6
-0.040120573385041	alpha_1	simulation6
-0.0805006905806183	alpha_1	simulation6
0.0794362931766202	alpha_1	simulation6
-0.0152589251161199	alpha_1	simulation6
-0.0547940501135426	alpha_1	simulation6
-0.0547394879518507	alpha_1	simulation6
-0.0468632505538605	alpha_1	simulation6
-0.0686705775493302	alpha_1	simulation6
-0.0797333446332038	alpha_1	simulation6
-0.0352045057421497	alpha_1	simulation6
0.092208137900531	alpha_1	simulation6
0.0360930591456953	alpha_1	simulation6
-0.0481826155037354	alpha_1	simulation6
-0.0887040359293612	alpha_1	simulation6
-0.0634651566847919	alpha_1	simulation6
-0.0671630697915132	alpha_1	simulation6
-0.113780832789309	alpha_1	simulation6
-0.010813481005871	alpha_1	simulation6
0.0934948455426222	alpha_1	simulation6
0.0230088845244025	alpha_1	simulation6
-0.0315172498279229	alpha_1	simulation6
-0.0731537715773797	alpha_1	simulation6
-0.0626950710190223	alpha_1	simulation6
-0.0722698628758319	alpha_1	simulation6
-0.128127648722894	alpha_1	simulation6
-0.00977641700807535	alpha_1	simulation6
0.0649975553067534	alpha_1	simulation6
-0.0273002322812936	alpha_1	simulation6
-0.0278312030536608	alpha_1	simulation6
-0.0812226255076927	alpha_1	simulation6
