diff	method	para
1.21894543897252	alpha_1	simulation10
0.165143170604619	alpha_1	simulation10
-0.0385979619329618	alpha_1	simulation10
-0.0336722326857243	alpha_1	simulation10
-0.0438106756337549	alpha_1	simulation10
-0.0205445039264516	alpha_1	simulation10
-0.0281756641338183	alpha_1	simulation10
-0.0314399280883162	alpha_1	simulation10
0.263035564475064	alpha_1	simulation10
0.323094664265265	alpha_1	simulation10
0.35822970389094	alpha_1	simulation10
0.454033562501801	alpha_1	simulation10
-0.039354222990618	alpha_1	simulation10
-0.0210298718605362	alpha_1	simulation10
-0.0311538166391327	alpha_1	simulation10
-0.0319800363183015	alpha_1	simulation10
0.071327079716786	alpha_1	simulation10
1.11591317075401	alpha_1	simulation10
0.140239866891778	alpha_1	simulation10
-0.0263642701462714	alpha_1	simulation10
-0.00600624423765397	alpha_1	simulation10
7.9999638908897e-05	alpha_1	simulation10
-0.0041757767320148	alpha_1	simulation10
-0.0245261894578296	alpha_1	simulation10
0.0409815371431232	alpha_1	simulation10
1.16576864605938	alpha_1	simulation10
0.0614172772819266	alpha_1	simulation10
-0.0330617927842832	alpha_1	simulation10
0.0878340903203567	alpha_1	simulation10
0.00131739727365563	alpha_1	simulation10
-0.0147350149830104	alpha_1	simulation10
-0.0341627126241634	alpha_1	simulation10
0.579107658327999	alpha_1	simulation10
0.105658943815081	alpha_1	simulation10
0.126613837474343	alpha_1	simulation10
0.463437200736055	alpha_1	simulation10
0.00172607652036386	alpha_1	simulation10
0.00270418911143732	alpha_1	simulation10
-0.00291619918348116	alpha_1	simulation10
-0.0191399245476971	alpha_1	simulation10
0.158125199997284	alpha_1	simulation10
0.0705229875010858	alpha_1	simulation10
0.359468844358853	alpha_1	simulation10
0.711061802536246	alpha_1	simulation10
-0.0127529514612389	alpha_1	simulation10
0.0576996362570532	alpha_1	simulation10
-0.0140382715258715	alpha_1	simulation10
-0.0258998048269542	alpha_1	simulation10
1.07127370909546	alpha_1	simulation10
0.316491289735414	alpha_1	simulation10
-0.0302495723549964	alpha_1	simulation10
-0.0365356667149019	alpha_1	simulation10
-0.0448090138217453	alpha_1	simulation10
-0.0220375151417125	alpha_1	simulation10
-0.0291269717819322	alpha_1	simulation10
-0.0303400148995717	alpha_1	simulation10
1.13329547000426	alpha_1	simulation10
0.204379000417172	alpha_1	simulation10
-0.00479647428596184	alpha_1	simulation10
-0.0178236188138435	alpha_1	simulation10
-0.0393129161126221	alpha_1	simulation10
-0.020502214806507	alpha_1	simulation10
-0.0294727914874801	alpha_1	simulation10
-0.0311308412615754	alpha_1	simulation10
0.588482548082688	alpha_1	simulation10
0.80875379526863	alpha_1	simulation10
-0.0204025504432938	alpha_1	simulation10
-0.0298546593080202	alpha_1	simulation10
-0.040709906195356	alpha_1	simulation10
-0.020783853212634	alpha_1	simulation10
-0.0310341004017103	alpha_1	simulation10
-0.0334651487402907	alpha_1	simulation10
0.711920876521249	alpha_1	simulation10
0.699211594524637	alpha_1	simulation10
-0.0350629838644366	alpha_1	simulation10
-0.0338274853634695	alpha_1	simulation10
-0.0418759861299113	alpha_1	simulation10
-0.0228560003848674	alpha_1	simulation10
-0.0322747396600869	alpha_1	simulation10
-0.0323826487805051	alpha_1	simulation10
1.25907002750845	alpha_1	simulation10
0.0784660044080774	alpha_1	simulation10
-0.0359849591983308	alpha_1	simulation10
-0.0244428730909242	alpha_1	simulation10
-0.0406706718474781	alpha_1	simulation10
0.00862905563663137	alpha_1	simulation10
-0.024641542700184	alpha_1	simulation10
-0.0311670306512841	alpha_1	simulation10
0.653795202894417	alpha_1	simulation10
0.15726366449495	alpha_1	simulation10
0.214544685337517	alpha_1	simulation10
0.109307711586167	alpha_1	simulation10
0.0491519190203836	alpha_1	simulation10
0.103174846159026	alpha_1	simulation10
-0.00618471704171517	alpha_1	simulation10
-0.0123064465073438	alpha_1	simulation10
1.29087092427995	alpha_1	simulation10
0.00979840338627849	alpha_1	simulation10
-0.00972122820223795	alpha_1	simulation10
-0.0272588620972335	alpha_1	simulation10
-0.00908271492871897	alpha_1	simulation10
-0.0192102009163318	alpha_1	simulation10
-0.0155319564373783	alpha_1	simulation10
-0.0281877493376622	alpha_1	simulation10
1.16319582356017	alpha_1	simulation10
0.0383949827791903	alpha_1	simulation10
-0.0044990951492813	alpha_1	simulation10
-0.00284658896203898	alpha_1	simulation10
0.0145197644197604	alpha_1	simulation10
-0.0205991138544863	alpha_1	simulation10
0.0074362012224638	alpha_1	simulation10
0.00955224043169751	alpha_1	simulation10
1.16053615833912	alpha_1	simulation10
0.168283596368602	alpha_1	simulation10
-0.0380556976825889	alpha_1	simulation10
-0.0140345029812547	alpha_1	simulation10
-0.0120817772925081	alpha_1	simulation10
-0.00885473357504436	alpha_1	simulation10
-0.0279824129730233	alpha_1	simulation10
-0.0315808081485657	alpha_1	simulation10
-0.0018286900883524	alpha_1	simulation10
0.312921793747782	alpha_1	simulation10
1.10969635669234	alpha_1	simulation10
-0.0253817400265597	alpha_1	simulation10
0.0202239496774835	alpha_1	simulation10
-0.0152352118816308	alpha_1	simulation10
-0.0329033407758179	alpha_1	simulation10
-0.0315170078537422	alpha_1	simulation10
0.501612065832345	alpha_1	simulation10
0.64388663632157	alpha_1	simulation10
0.254638876170048	alpha_1	simulation10
-0.0267631218836318	alpha_1	simulation10
-0.0434986570442452	alpha_1	simulation10
-0.0234629313317824	alpha_1	simulation10
-0.0328963639867799	alpha_1	simulation10
-0.0306133424729827	alpha_1	simulation10
1.38895418593107	alpha_1	simulation10
-0.0101390694317353	alpha_1	simulation10
-0.0446960059498669	alpha_1	simulation10
-0.0346260392695668	alpha_1	simulation10
-0.0424609922771049	alpha_1	simulation10
-0.0206896802614071	alpha_1	simulation10
-0.0278860426286873	alpha_1	simulation10
-0.0290683217221114	alpha_1	simulation10
0.561718394958775	alpha_1	simulation10
0.0829880763550334	alpha_1	simulation10
0.132876855815202	alpha_1	simulation10
-0.0346524092655404	alpha_1	simulation10
0.308127471251056	alpha_1	simulation10
0.293352875956696	alpha_1	simulation10
-0.0012192461382329	alpha_1	simulation10
-0.0182352733784239	alpha_1	simulation10
0.681467852437841	alpha_1	simulation10
0.0660232302260528	alpha_1	simulation10
0.638230436571119	alpha_1	simulation10
-0.0101525518389063	alpha_1	simulation10
-0.0333593003165152	alpha_1	simulation10
-0.0245433221435571	alpha_1	simulation10
-0.0291624874885234	alpha_1	simulation10
-0.0271275005763612	alpha_1	simulation10
0.892923685120389	alpha_1	simulation10
0.0863915625435819	alpha_1	simulation10
0.276481724645904	alpha_1	simulation10
0.0890272834186935	alpha_1	simulation10
-0.0334388363460395	alpha_1	simulation10
-0.0232407627151291	alpha_1	simulation10
-0.0312528369505252	alpha_1	simulation10
-0.0299273914357455	alpha_1	simulation10
1.05325483808036	alpha_1	simulation10
0.00784797589785375	alpha_1	simulation10
0.120586172899738	alpha_1	simulation10
-0.00579357821946457	alpha_1	simulation10
-0.035319464920493	alpha_1	simulation10
0.142751900131703	alpha_1	simulation10
-0.0279304056538619	alpha_1	simulation10
-0.0253712973880366	alpha_1	simulation10
0.341995900496074	alpha_1	simulation10
0.769646017530466	alpha_1	simulation10
0.148981401091863	alpha_1	simulation10
-0.0302264373928815	alpha_1	simulation10
-0.00237262198083828	alpha_1	simulation10
0.0861412090098619	alpha_1	simulation10
-0.0190697172762463	alpha_1	simulation10
-0.0301221143508849	alpha_1	simulation10
0.22288185745543	alpha_1	simulation10
0.30021440717853	alpha_1	simulation10
0.0342709635798091	alpha_1	simulation10
0.78720259265565	alpha_1	simulation10
-0.0187683174018012	alpha_1	simulation10
-0.018058626090505	alpha_1	simulation10
-0.0123774698481334	alpha_1	simulation10
-0.0269744735398898	alpha_1	simulation10
0.815623230767819	alpha_1	simulation10
0.125076614192442	alpha_1	simulation10
0.384750172891349	alpha_1	simulation10
0.0408743489218196	alpha_1	simulation10
-0.0437437062653715	alpha_1	simulation10
-0.0252234517424513	alpha_1	simulation10
-0.0302577591678102	alpha_1	simulation10
-0.0300825308700317	alpha_1	simulation10
0.0565815999436697	alpha_1	simulation10
0.867224098673323	alpha_1	simulation10
0.480944488304999	alpha_1	simulation10
-0.0210318177084581	alpha_1	simulation10
-0.00626343039071274	alpha_1	simulation10
