diff	method	para
0.0278724664910045	alpha_1	simulation1
-0.0434946470873139	alpha_1	simulation1
-0.0527680781123436	alpha_1	simulation1
-0.0380025919614868	alpha_1	simulation1
-0.041306245406562	alpha_1	simulation1
-0.0351533755552762	alpha_1	simulation1
-0.0435028650981915	alpha_1	simulation1
-0.0362529414662171	alpha_1	simulation1
-0.0132560444172234	alpha_1	simulation1
-0.04003141453352	alpha_1	simulation1
-0.037312612968772	alpha_1	simulation1
-0.020825203234405	alpha_1	simulation1
-0.0531053876949259	alpha_1	simulation1
-0.0445064198909165	alpha_1	simulation1
-0.0336026576800315	alpha_1	simulation1
-0.0394630159883693	alpha_1	simulation1
-0.020420509465083	alpha_1	simulation1
0.00754529411050608	alpha_1	simulation1
-0.0549855247382616	alpha_1	simulation1
-0.0494646784904748	alpha_1	simulation1
-0.0572578456479005	alpha_1	simulation1
-0.0413585340429677	alpha_1	simulation1
-0.0313424941209151	alpha_1	simulation1
-0.0397968481920666	alpha_1	simulation1
-0.0250972203879099	alpha_1	simulation1
0.00930999581965342	alpha_1	simulation1
-0.0608804420290443	alpha_1	simulation1
-0.0474615170529118	alpha_1	simulation1
-0.0534732559838835	alpha_1	simulation1
-0.0364146771988554	alpha_1	simulation1
-0.0318320737199736	alpha_1	simulation1
-0.0417666391278761	alpha_1	simulation1
0.00304698529429975	alpha_1	simulation1
-0.0525348831168682	alpha_1	simulation1
-0.0497639795656386	alpha_1	simulation1
-0.0170036262546133	alpha_1	simulation1
-0.0456391620200956	alpha_1	simulation1
-0.0414012306769765	alpha_1	simulation1
-0.0343881155926669	alpha_1	simulation1
-0.0373129842019398	alpha_1	simulation1
-0.0164838940390309	alpha_1	simulation1
-0.0557925979972237	alpha_1	simulation1
-0.0370134365940342	alpha_1	simulation1
-0.00720508796785163	alpha_1	simulation1
-0.0524832615253892	alpha_1	simulation1
-0.043031858412215	alpha_1	simulation1
-0.0318437975738156	alpha_1	simulation1
-0.039168589202504	alpha_1	simulation1
0.0225572488115219	alpha_1	simulation1
-0.0362831228362834	alpha_1	simulation1
-0.0552299169112456	alpha_1	simulation1
-0.0414708048112285	alpha_1	simulation1
-0.0449957887363434	alpha_1	simulation1
-0.0360929549709832	alpha_1	simulation1
-0.0427534594173671	alpha_1	simulation1
-0.0317630054497323	alpha_1	simulation1
0.0243255413575172	alpha_1	simulation1
-0.0425191388413902	alpha_1	simulation1
-0.0533580733409597	alpha_1	simulation1
-0.0350438979766666	alpha_1	simulation1
-0.0429849248023169	alpha_1	simulation1
-0.0359883091775729	alpha_1	simulation1
-0.0433620710097323	alpha_1	simulation1
-0.0353200069759391	alpha_1	simulation1
-0.00121044053189423	alpha_1	simulation1
-0.00912773911107134	alpha_1	simulation1
-0.0601726661462747	alpha_1	simulation1
-0.0414874493880789	alpha_1	simulation1
-0.0517050689149388	alpha_1	simulation1
-0.0359428886726434	alpha_1	simulation1
-0.0380335507423153	alpha_1	simulation1
-0.0378549100060386	alpha_1	simulation1
0.00628814073511619	alpha_1	simulation1
-0.0122677517960687	alpha_1	simulation1
-0.0586389210572686	alpha_1	simulation1
-0.0431800098559258	alpha_1	simulation1
-0.0509648128455413	alpha_1	simulation1
-0.0368605026038641	alpha_1	simulation1
-0.0410267001073077	alpha_1	simulation1
-0.0361204372489973	alpha_1	simulation1
0.0308005945331474	alpha_1	simulation1
-0.050064915118096	alpha_1	simulation1
-0.052279643683174	alpha_1	simulation1
-0.0370975013294866	alpha_1	simulation1
-0.0425516577564097	alpha_1	simulation1
-0.0343377449984066	alpha_1	simulation1
-0.0422717627620013	alpha_1	simulation1
-0.0353184700832142	alpha_1	simulation1
0.00393297791359742	alpha_1	simulation1
-0.0488028841848849	alpha_1	simulation1
-0.0423958155419763	alpha_1	simulation1
-0.0335287176452838	alpha_1	simulation1
-0.0437892326820018	alpha_1	simulation1
-0.0365292145790278	alpha_1	simulation1
-0.0372496391476567	alpha_1	simulation1
-0.035676174315699	alpha_1	simulation1
0.0352523097469234	alpha_1	simulation1
-0.0517774653926607	alpha_1	simulation1
-0.0508308025745909	alpha_1	simulation1
-0.0384567670801273	alpha_1	simulation1
-0.0413948173755922	alpha_1	simulation1
-0.0350245985321277	alpha_1	simulation1
-0.0451489616268217	alpha_1	simulation1
-0.0341462926634705	alpha_1	simulation1
0.0243872208581606	alpha_1	simulation1
-0.0526522268517052	alpha_1	simulation1
-0.0501447956738831	alpha_1	simulation1
-0.0357187442943114	alpha_1	simulation1
-0.0393153809711462	alpha_1	simulation1
-0.0351843127923355	alpha_1	simulation1
-0.0400995935165332	alpha_1	simulation1
-0.0345384890381441	alpha_1	simulation1
0.0259160502768807	alpha_1	simulation1
-0.0436330221791897	alpha_1	simulation1
-0.0536534615193566	alpha_1	simulation1
