diff	method	para
-0.105764207997069	alpha_1	simulation3
-0.0220727705246692	alpha_1	simulation3
-0.00622999148731018	alpha_1	simulation3
-0.0419829599035807	alpha_1	simulation3
-0.0242454204771493	alpha_1	simulation3
-0.0650560588032222	alpha_1	simulation3
-0.157490581387722	alpha_1	simulation3
0.00918675875080575	alpha_1	simulation3
0.00863218014817121	alpha_1	simulation3
-0.0952878683636207	alpha_1	simulation3
-0.0615074181780657	alpha_1	simulation3
-0.0616468419234921	alpha_1	simulation3
-0.0722031172571596	alpha_1	simulation3
-0.059717583273893	alpha_1	simulation3
-0.0464167912031784	alpha_1	simulation3
-0.03754973704873	alpha_1	simulation3
0.0343815570572182	alpha_1	simulation3
-0.121507725221179	alpha_1	simulation3
-0.0682003222074445	alpha_1	simulation3
-0.0837203471072141	alpha_1	simulation3
-0.0707209306825	alpha_1	simulation3
-0.0539653277358488	alpha_1	simulation3
-0.0340587262058381	alpha_1	simulation3
-0.0328447876697735	alpha_1	simulation3
0.0365500087180562	alpha_1	simulation3
-0.128111575167235	alpha_1	simulation3
-0.0766721000222799	alpha_1	simulation3
-0.0818819440196723	alpha_1	simulation3
-0.0711419949475039	alpha_1	simulation3
-0.0450868980804109	alpha_1	simulation3
-0.0295399350327789	alpha_1	simulation3
-0.0356501031946198	alpha_1	simulation3
-0.0353186765119049	alpha_1	simulation3
-0.076776133103219	alpha_1	simulation3
-0.0467015504970452	alpha_1	simulation3
-0.0486840141898123	alpha_1	simulation3
-0.0551869312674399	alpha_1	simulation3
-0.0592178350426641	alpha_1	simulation3
-0.0847961775230867	alpha_1	simulation3
-0.0150248033068913	alpha_1	simulation3
0.0135862838238083	alpha_1	simulation3
-0.103736450123634	alpha_1	simulation3
-0.0703501153671475	alpha_1	simulation3
-0.0548118931576475	alpha_1	simulation3
-0.0750181331041426	alpha_1	simulation3
-0.0596542268420014	alpha_1	simulation3
-0.0369281189090382	alpha_1	simulation3
-0.0401304025530414	alpha_1	simulation3
-0.0847544781554818	alpha_1	simulation3
-0.0381994110874528	alpha_1	simulation3
-0.0149951998231004	alpha_1	simulation3
-0.0498141926677238	alpha_1	simulation3
-0.0326069579204989	alpha_1	simulation3
-0.0634041783263131	alpha_1	simulation3
-0.142793287590498	alpha_1	simulation3
0.0108292935503358	alpha_1	simulation3
-0.0923166823446525	alpha_1	simulation3
-0.0302010960601334	alpha_1	simulation3
-0.0145259615466857	alpha_1	simulation3
-0.0397400072161769	alpha_1	simulation3
-0.0307121388675724	alpha_1	simulation3
-0.0643790443333034	alpha_1	simulation3
-0.148704633096719	alpha_1	simulation3
0.00632549149893341	alpha_1	simulation3
-0.0294006744945214	alpha_1	simulation3
-0.0870657676328856	alpha_1	simulation3
-0.03863972048287	alpha_1	simulation3
-0.0642759862167294	alpha_1	simulation3
-0.0508559881812303	alpha_1	simulation3
-0.053307224117943	alpha_1	simulation3
-0.0912658183910459	alpha_1	simulation3
-0.00886213667109189	alpha_1	simulation3
-0.0398742090664077	alpha_1	simulation3
-0.0709058621885965	alpha_1	simulation3
-0.0323815401463219	alpha_1	simulation3
-0.0627986942531826	alpha_1	simulation3
-0.0481588860523	alpha_1	simulation3
-0.0553620979676683	alpha_1	simulation3
-0.106583703025392	alpha_1	simulation3
-0.00525051877548744	alpha_1	simulation3
-0.111725193293545	alpha_1	simulation3
-0.0171147111889444	alpha_1	simulation3
-0.00498929592434696	alpha_1	simulation3
-0.0371078922380385	alpha_1	simulation3
-0.0258158639576551	alpha_1	simulation3
-0.0673457071230185	alpha_1	simulation3
-0.161308421414369	alpha_1	simulation3
0.0118807685839705	alpha_1	simulation3
-0.0418062601228306	alpha_1	simulation3
-0.0578233263548203	alpha_1	simulation3
-0.0451265854370964	alpha_1	simulation3
-0.0465649906560918	alpha_1	simulation3
-0.0482948591066381	alpha_1	simulation3
-0.0668367041819004	alpha_1	simulation3
-0.0930305897022129	alpha_1	simulation3
-0.0215602753351658	alpha_1	simulation3
-0.111924767578777	alpha_1	simulation3
-0.0103757490257923	alpha_1	simulation3
-0.00266219852018259	alpha_1	simulation3
-0.0389113718275814	alpha_1	simulation3
-0.0265641310776133	alpha_1	simulation3
-0.0645013559830935	alpha_1	simulation3
-0.168164150335217	alpha_1	simulation3
0.0109246641139135	alpha_1	simulation3
