Mixture	celltype 1	celltype 2	celltype 3	celltype 4	celltype 5	celltype 6	celltype 7	celltype 8	P-value	Correlation	RMSE	Absolute score (sig.score)
ID1	1.30870844581188	0.140937381777666	0	0	0	0	0	0	0	0.994217845028095	0.110867252754857	1.44964582758954
ID2	0.281669587401264	0.303594013557996	0.312755516431794	0.433495967294721	0	0	0	0	0	0.984517338360438	0.519540434216377	1.33151508468578
ID3	0.0932506384199419	1.00417179913517	0.118844426624814	0	0	0.00843043084741976	0.0115943110234598	0	0	0.991976267616969	0.323546236952878	1.2362916060508
ID4	0.0581538682179075	1.07361612460913	0.0544490355280103	0	0.0477659209752966	0.00878319858625158	0.00276150212746351	0	0	0.992392453971094	0.294889152351863	1.24552965004406
ID5	0.680694153000639	0.100307179372252	0.127085948964237	0.49819940388096	0	0.0120386456393033	0	0	0	0.991288275498513	0.388224501889086	1.41832533085739
ID6	0.194419860335644	0.0729685623869182	0.329532634281404	0.721646357373852	0	0.050583208444581	0	0	0	0.988368577639618	0.435632648608271	1.3691506228224
ID7	1.1367910542924	0.279050063291419	0	0	0	0	0	0	0	0.993957326987991	0.147340409364975	1.41584111758382
ID8	1.26759747374566	0.165706710865884	0.00791885533048804	0	0	0	0	0	0	0.994255412323972	0.114632926103458	1.44122303994203
ID9	0.598143021067452	0.72800661544494	0	0	0	0	0	0	0	0.991252403119559	0.310833030814536	1.32614963651239
ID10	0.719128122831322	0.627244545468746	0	0	0	0	0	0	0	0.991991924389461	0.286578775273938	1.34637266830007
ID11	1.39978415984131	0.0596634564551686	0	0	0	0.0112250450353967	0	0	0	0.994738861267166	0.110067553688429	1.47067266133187
ID12	0.79919431799328	0.149860830693642	0.21564101022548	0.122753616697365	0.0195980572018752	0.103136790079226	0.00180343278992702	0	0	0.991447043550252	0.36412008472519	1.41198805568079
ID13	1.47272031502418	0	0	0	0	0	0	0	0	0.995771362584475	0.122088460808966	1.47272031502418
ID14	1.38893849895008	0.0124300143604713	0.00599775577214854	0.0237278216198255	0.0048231666100867	0	0.026376007696301	0.010299336635802	0	0.996071520971205	0.0953116343265348	1.47259260164471
ID15	1.30500590691726	0.140181628943155	0	0	0	0	0	0	0	0.995336310242858	0.100572080316786	1.44518753586042
ID16	0.0259324872774893	0.277682837024227	0.93849100527463	0	0	0	0	0	0	0.992386767104035	0.348439168889842	1.24210632957635
ID17	0.511562810739441	0.575405916621927	0.225529959278958	0	0	0	0	0	0	0.988750450931469	0.394443302334276	1.31249868664033
ID18	1.48973183501999	0	0	0	0	0	0	0	0	0.99496733124716	0.128875748958737	1.48973183501999
ID19	0.678097547342647	0.0696526336233942	0.136991077849442	0	0.275407564646199	0.283725753810532	0	0	0	0.990122807703074	0.407771816306133	1.44387457727222
ID20	0.713553080524486	0.0563566667916066	0.594475291337079	0	0	0	0	0	0	0.992280071070928	0.309021646758524	1.36438503865317
ID21	0.977542603258862	0.0627066763895883	0.274429003238877	0.092118906507647	0	0	0	0	0	0.992777863860288	0.239880073839744	1.40679718939497
ID22	1.20322758981357	0	0.131755472567349	0.000641208038056994	0	0.12556357840909	0	0	0	0.993912653728336	0.154903533249754	1.46118784882807
ID23	0.365394089241542	0.73206087188622	0.140160155991037	0	0	0.0684301862962588	0	0	0	0.990293786026294	0.412126849053072	1.30604530341506
ID24	0.259532482551344	0.291733100641801	0.0256544195160944	0.792803845576782	0	0	0	0	0	0.990641425645869	0.38582853278797	1.36972384828602
ID25	0.879021718651607	0.101606031536156	0.357262908480112	0.0460211040617872	0	0	0	0	0	0.991762511546759	0.275947929291781	1.38391176272966
ID26	0.0566260510022826	0.765769546912233	0.415252256915703	0	0	0	0	0	0	0.98901889440194	0.413073526524054	1.23764785483022
