Mixture	celltype 1	celltype 2	celltype 3	celltype 4	celltype 5	celltype 6	celltype 7	celltype 8	P-value	Correlation	RMSE	Absolute score (sig.score)
ID1	1.66141431606545	0.222246897404854	0	0	0	0.00053762291843741	0	0	0	0.784893425485856	0.760544252773104	1.88419883638874
ID2	0.298694741425391	0.43736698540363	0.560041773316042	0.64863829604458	0	0	0	0	0	0.907285050338804	0.609774298527582	1.94474179618964
ID3	0.0734213271792347	1.53181713256603	0.191492167352467	0	0	0.0212193781975749	0.0246026795376921	0.00192250572794482	0	0.929713604742081	0.420468663359103	1.84447519056095
ID4	0.0667522207319041	1.56495378104759	0.121638873171995	0	0.03017339701566	0.0392176742393812	0.0108626438068377	0	0	0.930909293683917	0.410459347848382	1.83359859001337
ID5	0.903101007507882	0.13121767073656	0.186113580241136	0.664477957375674	0.0281315729434487	0.0291723229124702	0	0.00275606583679144	0	0.8053199432933	0.599455221693739	1.94497017755396
ID6	0.179544707105242	0.134201905043969	0.496947196924058	1.07483508197809	0.012638976439253	0.0880373795867605	0	0	0	0.928473647118628	0.549333458291704	1.98620524707737
ID7	1.46879869365851	0.398635129998413	0	0	0	0.0053510358815697	0	0	0	0.794859461745052	0.68399563511417	1.87278485953849
ID8	1.5964441931674	0.269632440778436	0.0166275075469128	0	0	0.00108098671821319	0	0	0	0.788502316340954	0.730702085179313	1.88378512821096
ID9	0.760542445355797	1.03353019465308	0.0440374609544574	0	0.00877330641109548	0.000317706743125092	0.00268069175360056	0	0	0.87049351440792	0.499962018884871	1.84988180587116
ID10	1.00062397109788	0.842833847529591	0.00441954325428054	0	0	0.00493309987232061	0	0	0	0.841589216489701	0.540364445134708	1.85281046175407
ID11	1.75776279147559	0.112439924291776	0	0	0	0.0206892848546032	0	0	0	0.779518965330055	0.803731603046421	1.89089200062197
ID12	1.07036078611722	0.192074531198137	0.305464134814309	0.180352108918009	0.0594412286284854	0.126947735256306	0	0	0	0.792204905929209	0.609430638412495	1.93464052493246
ID13	1.80077845065597	0.0353557876759624	0.0276078459675377	0	0.02031462400117	0.0048477664192408	0	0	0	0.779032030373284	0.823467485910455	1.88890447471989
ID14	1.71669983620525	0.0641426261386701	0.00913595268239544	0.0182512014993554	0.0366453361722271	0	0.022275105624367	0.0366617940830628	0	0.782508285922676	0.775301919652781	1.90381185240533
ID15	1.630000414686	0.226013894178976	0	0	0.0106110738891497	0.0142669927399709	0	0	0	0.788095655891259	0.743858337025529	1.8808923754941
ID16	0.0440530248398744	0.338891222384338	1.58115113574846	0	0.0424319238554571	0	0	0	0	0.935037627929698	0.47674786178453	2.00652730682813
ID17	0.671480505947045	0.829821913593996	0.380530804870607	0.00185759113139398	0	0.00249614014977935	0	0	0	0.863469581576775	0.541215582195134	1.88618695569282
ID18	1.87471448502738	0.0223696356615351	0	0	0	0	0	0	0	0.775772429076108	0.859345647353208	1.89708412068891
ID19	0.945128079284417	0.106958126344517	0.174307530672569	0	0.32299235411617	0.367984634237175	0	0	0	0.811883284634138	0.587154124216004	1.91737072465485
ID20	0.992003004982343	0.0854950659662309	0.88554198598818	0	0	0	0	0	0	0.805655900521334	0.592233969968338	1.96304005693675
ID21	1.32550666185062	0.110977630217505	0.386241240459483	0.0994578594183786	0	0	0	0	0	0.782000777674365	0.649438067356826	1.92218339194599
ID22	1.53784076331901	0.0196342874120273	0.19624974086898	0.00629761527093634	0	0.163286617125656	0	0	0	0.778604860142614	0.705548668881982	1.92330902399661
ID23	0.479296929973042	1.05022747144492	0.223714552662832	0	0.0196817842711028	0.10512956600245	0	0	0	0.89873910272317	0.513481020493017	1.87805030435434
ID24	0.177275791498145	0.440340169632203	0.0952193948145878	1.19789417284881	0.00555308181073811	0.0130430769587151	0	0	0	0.933617268446424	0.493731271019757	1.9293256875632
ID25	1.20458779182132	0.155342277035057	0.531960572532787	0.0402524292256498	0	0	0	0	0	0.784957317824889	0.628010840049815	1.93214307061481
ID26	0.0638229251884076	1.17948025308476	0.629640020461548	0.00819800083142091	0.0161043229015715	0	0	0	0	0.922707157803855	0.506144617871552	1.8972455224677
ID27	1.34494328336808	0.451842580740638	0.0805854457595155	0	0.00762788558081906	0.00104104693969275	0	0	0	0.803126735464547	0.634441957828445	1.88604024238875
ID28	1.06759185740944	0.61630457851171	0.195370261947041	0	0	0.00633521607966406	0	0	0	0.816688700699803	0.577772549595347	1.88560191394785
ID29	0.520710530964022	0.997383362313841	0.102492067373548	0.0372793075633463	0.171729238193045	0.0196675994854762	0	0	0	0.899795219365435	0.503236780457401	1.84926210589328
ID30	1.26677036823868	0.0561102288926594	0.164187782076318	0.254141601098213	0.0666232963139963	0.120607090274843	0	0	0	0.784485524716005	0.633230940190277	1.92844036689471
ID31	1.48735870609544	0.3258750608085	0	0.0302902452138171	0	0.017206662253162	0	0.028677906175899	0	0.794770962832382	0.681995243996165	1.88940858054682
