diff	method	para
-0.0225712738750938	alpha_1	simulation2
-0.0378561054038352	alpha_1	simulation2
-0.0401929860492495	alpha_1	simulation2
-0.0458424504326607	alpha_1	simulation2
-0.0346620844483944	alpha_1	simulation2
-0.0561311073772465	alpha_1	simulation2
-0.121045013351402	alpha_1	simulation2
-0.0183468439883263	alpha_1	simulation2
0.00473065124295999	alpha_1	simulation2
-0.075457946407943	alpha_1	simulation2
-0.0541792300203483	alpha_1	simulation2
-0.0374799320110993	alpha_1	simulation2
-0.0776472569534628	alpha_1	simulation2
-0.0633261256383712	alpha_1	simulation2
-0.0428314888108956	alpha_1	simulation2
-0.0494462465966418	alpha_1	simulation2
0.0100536504022379	alpha_1	simulation2
-0.0313885051179671	alpha_1	simulation2
-0.0781284375219689	alpha_1	simulation2
-0.0808438493937575	alpha_1	simulation2
-0.0826807636413081	alpha_1	simulation2
-0.0567887894813908	alpha_1	simulation2
-0.0332315985469383	alpha_1	simulation2
-0.0482915855119454	alpha_1	simulation2
0.00903365991230635	alpha_1	simulation2
-0.0319347304006478	alpha_1	simulation2
-0.0892571354318641	alpha_1	simulation2
-0.0789841282600738	alpha_1	simulation2
-0.0791595858434653	alpha_1	simulation2
-0.0495307131910977	alpha_1	simulation2
-0.0306351558529879	alpha_1	simulation2
-0.0518042551157042	alpha_1	simulation2
-0.00594663390479794	alpha_1	simulation2
-0.0782200079172169	alpha_1	simulation2
-0.0578329134818341	alpha_1	simulation2
-0.0260704885518408	alpha_1	simulation2
-0.0584531399554126	alpha_1	simulation2
-0.0595642600247982	alpha_1	simulation2
-0.068303626793973	alpha_1	simulation2
-0.0345873719426855	alpha_1	simulation2
0.00461611654863658	alpha_1	simulation2
-0.0989151232931353	alpha_1	simulation2
-0.0580301970361129	alpha_1	simulation2
-0.0189088812445934	alpha_1	simulation2
-0.0778192974907689	alpha_1	simulation2
-0.0618452057243765	alpha_1	simulation2
-0.0357357518437798	alpha_1	simulation2
-0.0508038843480006	alpha_1	simulation2
-0.016238238733535	alpha_1	simulation2
-0.037384153339277	alpha_1	simulation2
-0.0472358308882815	alpha_1	simulation2
-0.0529946108806947	alpha_1	simulation2
-0.0432266552989032	alpha_1	simulation2
-0.0561200373674629	alpha_1	simulation2
-0.110766724521798	alpha_1	simulation2
-0.01580450320485	alpha_1	simulation2
-0.0179734250747638	alpha_1	simulation2
-0.0407901574291999	alpha_1	simulation2
-0.0446640619205957	alpha_1	simulation2
-0.0430275045588548	alpha_1	simulation2
-0.0401681688688142	alpha_1	simulation2
-0.0565494399762161	alpha_1	simulation2
-0.114767300066259	alpha_1	simulation2
-0.0199324117047779	alpha_1	simulation2
-0.00649758657018751	alpha_1	simulation2
-0.0312670635659481	alpha_1	simulation2
-0.0667774897032359	alpha_1	simulation2
-0.0633592561557284	alpha_1	simulation2
-0.0632530235387968	alpha_1	simulation2
-0.0521157944173044	alpha_1	simulation2
-0.0747814392249204	alpha_1	simulation2
-0.0325584342794344	alpha_1	simulation2
-0.00601171163608416	alpha_1	simulation2
-0.0280012187333943	alpha_1	simulation2
-0.0622816664874207	alpha_1	simulation2
-0.062923130916155	alpha_1	simulation2
-0.0599054060373203	alpha_1	simulation2
-0.0532109986744479	alpha_1	simulation2
-0.0858516569458467	alpha_1	simulation2
-0.0292618231508149	alpha_1	simulation2
-0.0235690153820375	alpha_1	simulation2
-0.0418460917044556	alpha_1	simulation2
-0.0384608600176146	alpha_1	simulation2
-0.0421173574589523	alpha_1	simulation2
-0.0353032576752759	alpha_1	simulation2
-0.0560778042499995	alpha_1	simulation2
-0.123027518877113	alpha_1	simulation2
-0.0160179355982435	alpha_1	simulation2
-0.00798060762027253	alpha_1	simulation2
-0.0643800257129341	alpha_1	simulation2
-0.0494819412484755	alpha_1	simulation2
-0.0446296425228212	alpha_1	simulation2
-0.0530197097086971	alpha_1	simulation2
-0.0577703229196125	alpha_1	simulation2
-0.0752975901395207	alpha_1	simulation2
-0.035625891594129	alpha_1	simulation2
-0.0208302405018285	alpha_1	simulation2
-0.042215651626588	alpha_1	simulation2
-0.0350569780963129	alpha_1	simulation2
-0.0437578701860957	alpha_1	simulation2
-0.0337437842511623	alpha_1	simulation2
-0.0554357620223881	alpha_1	simulation2
-0.128285069684861	alpha_1	simulation2
-0.0154185843437656	alpha_1	simulation2
-0.0248187310059275	alpha_1	simulation2
-0.0476218492617239	alpha_1	simulation2
-0.0395719219498246	alpha_1	simulation2
-0.0408556691272575	alpha_1	simulation2
-0.0339903484753407	alpha_1	simulation2
-0.056315588607562	alpha_1	simulation2
-0.113814029504987	alpha_1	simulation2
