Mixture	celltype 1	celltype 2	celltype 3	celltype 4	celltype 5	celltype 6	celltype 7	celltype 8	P-value	Correlation	RMSE	Absolute score (sig.score)
ID1	1.43471105645626	0.218262970556852	0	0	0	0.000362895365431515	0	0	0	0.787932409069515	0.782201480826909	1.65333692237854
ID2	0.248242169671635	0.405944633239656	0.479301396999515	0.563939565745993	0	0	0	0	0	0.898231810667846	0.617527393718902	1.6974277656568
ID3	0.0772771523711525	1.30063742931588	0.160970085839529	0	0	0.0241549375636171	0.0122135863204293	0.00133640599820541	0	0.92476664433084	0.450707811695152	1.57658959740881
ID4	0.0705315669635326	1.39448931548337	0.0719866580647033	0	0.00590267589867986	0.022619625725031	3.56910300432787e-05	0	0	0.924767740648082	0.427279044480044	1.56556553316536
ID5	0.750661368733486	0.123192328632415	0.192088428360211	0.590499249430545	0.0255618952208308	0.0309171739024127	0	0	0	0.807470400504798	0.597000071215765	1.7129204442799
ID6	0.143237041956403	0.116553343786113	0.455621428295106	0.960551595557279	0.00310989040928055	0.071552112101424	0	0	0	0.922448724808512	0.555647552019237	1.75062541210561
ID7	1.24202983265901	0.392116673366368	0	0	0	0.00326027847494978	0	0	0	0.798951502078201	0.688091415844162	1.63740678450033
ID8	1.3604223432164	0.27097093476023	0.0195721774063919	0	0	0	0	0	0	0.792084316190645	0.741242624007519	1.65096545538302
ID9	0.611657695087056	0.955013715284185	0.022456677149509	0	0.00907592276512746	0	0	0	0	0.873837436494622	0.495526920814395	1.59820401028588
ID10	0.838697731756379	0.762264365722826	0	0	0	0.00239783453125983	0	0	0	0.843226518314643	0.538416346105822	1.60335993201046
ID11	1.52853122272702	0.114943182144225	0	0	0	0.018770861017851	0	0	0	0.782515756576369	0.833171986152606	1.6622452658891
ID12	0.901124712286546	0.171113314443889	0.302128743907983	0.141423273289336	0.057594185413768	0.120563742811588	0	0	0	0.79649499920403	0.603736289767134	1.69394797215311
ID13	1.58387814523444	0.0339526600044436	0.0255143604779002	0	0.0196384792702003	0.00113533445511736	0	0	0	0.781813419252703	0.863568826790338	1.6641189794421
ID14	1.50490201025833	0.0581517418296716	0.0196561159963067	0.0136892399719564	0.0373755489284567	0	0.0153800352709467	0.0258488632904755	0	0.785474661492966	0.808057798883345	1.67500355554614
ID15	1.4101627630348	0.219189315920964	0	0.0006983982391162	0.00732001262106292	0.013750407828207	0	0	0	0.791362561683124	0.764764721819258	1.65112089764415
ID16	0.0370518834205975	0.25335189668163	1.4293157755397	0	0	0	0	0	0	0.917724308841275	0.499056895739439	1.71971955564193
ID17	0.539222992318982	0.728095518301135	0.359488860131386	0	0	0	0.00286455774824305	0	0	0.863890297983995	0.5453754770004	1.62967192849975
ID18	1.6583871787626	0.0134772782071055	0	0	0	0	0	0	0	0.778650452857537	0.907896269694352	1.6718644569697
ID19	0.792993823419537	0.0834833228489265	0.170310953910466	0	0.291310537421734	0.346681548527084	0	0	0	0.817384696696654	0.579074180133146	1.68478018612775
ID20	0.819439575600833	0.0666019541616384	0.820073111537791	0	0	0	0	0	0	0.805534564028377	0.592075864266165	1.70611464130026
ID21	1.10105833363267	0.098365757385045	0.390354507992616	0.0932935874093607	0	0	0	0	0	0.787067487619975	0.642534697701568	1.68307218641969
ID22	1.32528717978643	0.0189175451236759	0.190184306030847	0.00570249106154812	0	0.153897800500156	0	0	0	0.781488618651383	0.716912243108915	1.69398932250265
ID23	0.382588086874151	0.915657085286987	0.207762689486838	0	0.0166073671519517	0.0992692362192691	0	0	0	0.897228904728319	0.525991439215923	1.6218844650192
ID24	0.151831712259714	0.379513637658805	0.0883619370377198	1.07881366574206	0.00186673500937423	0.00104463073912376	0	0	0	0.929510502478361	0.499743982079759	1.70143231844679
ID25	1.00979564534472	0.126926544405514	0.517393254328823	0.0299229001489432	0	0	0	0	0	0.789193991479329	0.62439481088309	1.68403834422801
ID26	0.064977923208441	1.01501769879045	0.541853364116381	0	0	0	0	0	0	0.914235712185307	0.530539764704083	1.62184898611527
ID27	1.14564812052914	0.414691441817783	0.0764509483663412	0	0.00767689155666028	0	0	0	0	0.806383324121974	0.639330004235062	1.64446740226992
ID28	0.888082982185177	0.558841725254941	0.187906366503787	0	0	0.00260513954685272	0	0	0	0.820264832523616	0.57286139252991	1.63743621349076
ID29	0.47126561158256	0.876285774734559	0.060164972716504	0.0081394571096239	0.161296150084365	0.0217904298378119	0	0	0	0.891976062083364	0.504000991647877	1.59894239606542
ID30	1.08327450529729	0.0540767877067352	0.159911421997477	0.245657469432633	0.0589992114907623	0.0967711999862255	0	0	0	0.788502516281292	0.632376518669603	1.69869059591113
ID31	1.27941292065064	0.31688811345628	0	0.0282485136785812	0	0.00775912659075778	0	0.0248916323132012	0	0.798520102933185	0.693529117119633	1.65720030668946
ID32	0.0516030895266075	0.0727589737998527	1.53520152333464	0.0998198469696776	0	0	0	0	0	0.922111227131757	0.481126306765312	1.75938343363078
ID33	0.674358807711716	0.725374249777367	0.119237767924225	0.0355758248032678	0.0387942094474431	0.0404981064392958	0	0	0	0.851847984772951	0.535814792518245	1.63383896610331
