Estmated_Gamma True_Gamma beta tauW
0.32 0 0.5 1
1 0 0.5 1
1 1 0.5 1
0.533333333333333 0 0.5 1
0.466666666666667 0 0.5 1
0.973333333333333 1 0.5 1
0.56 0 0.5 1
0.773333333333333 1 0.5 1
1 1 0.5 1
1 1 0.5 1
0.253333333333333 0 0.5 1
1 0 0.5 1
0.693333333333333 0 0.5 1
1 0 0.5 1
0.746666666666667 0 0.5 1
0.226666666666667 0 0.5 1
1 0 0.5 1
1 0 0.5 1
0.573333333333333 0 0.5 1
1 1 0.5 1
0.546666666666667 0 0.5 1
0.733333333333333 0 0.5 1
0.88 0 0.5 1
1 1 0.5 1
1 0 0.5 1
0.306666666666667 0 0.5 1
0.88 1 0.5 1
0.493333333333333 0 0.5 1
0.36 0 0.5 1
0.826666666666667 0 0.5 1
0.32 0 0.5 1
0.76 0 0.5 1
0.466666666666667 0 0.5 1
0.72 0 0.5 1
0.973333333333333 1 0.5 1
0.8 0 0.5 1
1 0 0.5 1
1 1 0.5 1
0.92 0 0.5 1
1 0 0.5 1
0.56 0 0.5 1
0.893333333333333 0 0.5 1
0.666666666666667 0 0.5 1
0.786666666666667 1 0.5 1
0.466666666666667 0 0.5 1
0.386666666666667 0 0.5 1
0.986666666666667 0 0.5 1
0.973333333333333 0 0.5 1
1 0 0.5 1
1 0 0.5 1
1 1 0.5 1
0.786666666666667 1 0.5 1
1 1 0.5 1
0.96 0 0.5 1
1 0 0.5 1
0.986666666666667 1 0.5 1
0.626666666666667 0 0.5 1
0.933333333333333 1 0.5 1
1 1 0.5 1
1 1 0.5 1
1 0 0.5 1
0.0133333333333333 0 0.5 1
0.893333333333333 1 0.5 1
0.64 1 0.5 1
1 0 0.5 1
1 1 0.5 1
0.333333333333333 0 0.5 1
0.866666666666667 1 0.5 1
0.4 0 0.5 1
1 1 0.5 1
1 1 0.5 1
0.386666666666667 0 0.5 1
0.306666666666667 0 0.5 1
0.453333333333333 0 0.5 1
1 1 0.5 1
1 0 0.5 1
1 0 0.5 1
1 0 0.5 1
1 0 0.5 1
1 1 0.5 1
1 0 0.5 1
0.96 0 0.5 1
1 1 0.5 1
1 1 0.5 1
1 1 0.5 1
0.706666666666667 1 0.5 1
0.12 0 0.5 1
1 0 0.5 1
0.493333333333333 0 0.5 1
0.04 0 0.5 1
0.04 0 0.5 1
0.573333333333333 0 0.5 1
1 0 0.5 1
0.0666666666666667 0 0.5 1
1 1 0.5 1
0.466666666666667 0 0.5 1
0.853333333333333 0 0.5 1
0.826666666666667 1 0.5 1
1 1 0.5 1
0.893333333333333 0 0.5 1
0.173333333333333 0 0.5 1
1 1 0.5 1
0.226666666666667 0 0.5 1
0.146666666666667 0 0.5 1
1 1 0.5 1
1 0 0.5 1
0.106666666666667 0 0.5 1
0.266666666666667 0 0.5 1
1 0 0.5 1
1 0 0.5 1
1 0 0.5 1
0 0 0.5 1
1 0 0.5 1
0.133333333333333 0 0.5 1
0.626666666666667 0 0.5 1
1 1 0.5 1
1 1 0.5 1
0.92 1 0.5 1
1 0 0.5 1
1 1 0.5 1
0.84 0 0.5 1
0.986666666666667 0 0.5 1
1 1 0.5 1
1 1 0.5 1
0.853333333333333 0 0.5 1
1 0 0.5 1
0.986666666666667 0 0.5 1
1 0 0.5 1
0.84 1 0.5 1
1 0 0.5 1
0.4 0 0.5 1
1 1 0.5 1
1 1 0.5 1
1 0 0.5 1
0.56 0 0.5 1
1 0 0.5 1
1 1 0.5 1
0.893333333333333 0 0.5 1
0.573333333333333 0 0.5 1
0.68 0 0.5 1
1 0 0.5 1
1 0 0.5 1
0.986666666666667 0 0.5 1
0.92 0 0.5 1
1 0 0.5 1
0.36 0 0.5 1
1 0 0.5 1
0.84 0 0.5 1
0.0266666666666667 0 0.5 1
1 1 0.5 1
1 0 0.5 1
0.4 0 0.5 1
0.04 0 0.5 1
0.866666666666667 0 0.5 1
0.453333333333333 0 0.5 1
0.52 0 0.5 1
1 0 0.5 1
0.986666666666667 1 0.5 1
0.413333333333333 0 0.5 1
0.293333333333333 0 0.5 1
0.293333333333333 0 0.5 1
0.946666666666667 0 0.5 1
0.16 0 0.5 1
1 0 0.5 1
0.693333333333333 0 0.5 1
1 0 0.5 1
1 1 0.5 1
0.96 1 0.5 1
0.666666666666667 0 0.5 1
0.333333333333333 0 0.5 1
1 0 0.5 1
1 0 0.5 1
0.0266666666666667 0 0.5 1
0.306666666666667 0 0.5 1
0.413333333333333 0 0.5 1
1 1 0.5 1
0.96 0 0.5 1
1 1 0.5 1
0.346666666666667 0 0.5 1
1 1 0.5 1
0.72 0 0.5 1
1 1 0.5 1
0.826666666666667 0 0.5 1
0.973333333333333 0 0.5 1
1 0 0.5 1
0.16 0 0.5 1
0.48 0 0.5 1
1 0 0.5 1
0.973333333333333 1 0.5 1
1 0 0.5 1
0.586666666666667 0 0.5 1
0.706666666666667 0 0.5 1
1 1 0.5 1
0.0933333333333333 0 0.5 1
1 1 0.5 1
1 1 0.5 1
1 0 0.5 1
1 1 0.5 1
1 1 0.5 1
0.773333333333333 0 0.5 1
0.56 0 0.5 1
1 0 0.5 1
0.746666666666667 0 0.5 1
1 1 0.5 1
0.0933333333333333 0 0.5 1
1 0 0.5 1
0.946666666666667 0 0.5 1
0.12 0 0.5 1
1 1 0.5 1
0.306666666666667 0 0.5 1
0.133333333333333 0 0.5 1
0.28 0 0.5 1
0.84 0 0.5 1
1 1 0.5 1
1 0 0.5 1
0.786666666666667 0 0.5 1
0.226666666666667 0 0.5 1
0.893333333333333 1 0.5 1
0.866666666666667 0 0.5 1
0.973333333333333 1 0.5 1
0.426666666666667 0 0.5 1
0.546666666666667 0 0.5 1
1 1 0.5 1
0.2 0 0.5 1
0.253333333333333 0 0.5 1
1 1 0.5 1
1 1 0.5 1
0.386666666666667 0 0.5 1
0.746666666666667 0 0.5 1
0.546666666666667 0 0.5 1
1 0 0.5 1
0.626666666666667 0 0.5 1
0.68 0 0.5 1
0.853333333333333 1 0.5 1
1 1 0.5 1
0.906666666666667 1 0.5 1
1 0 0.5 1
1 0 0.5 1
0.213333333333333 0 0.5 1
1 1 0.5 1
0.186666666666667 0 0.5 1
0.4 0 0.5 1
1 1 0.5 1
0.853333333333333 0 0.5 1
0.173333333333333 0 0.5 1
1 0 0.5 1
0.946666666666667 1 0.5 1
0.493333333333333 0 0.5 1
1 0 0.5 1
1 1 0.5 1
0.52 0 0.5 1
0.533333333333333 0 0.5 1
0.106666666666667 0 0.5 1
0.68 0 0.5 1
1 0 0.5 1
1 1 0.5 1
0.253333333333333 0 0.5 1
0.92 0 0.5 1
0.733333333333333 0 0.5 1
0.666666666666667 0 0.5 1
1 1 0.5 1
0.946666666666667 1 0.5 1
1 0 0.5 1
0.0133333333333333 0 0.5 1
0.426666666666667 0 0.5 1
0.96 0 0.5 1
0.373333333333333 0 0.5 1
1 0 0.5 1
1 1 0.5 1
0.84 0 0.5 1
1 0 0.5 1
0.0133333333333333 0 0.5 1
0.653333333333333 0 0.5 1
0.12 0 0.5 1
0.493333333333333 0 0.5 1
0.293333333333333 0 0.5 1
0.0533333333333333 0 0.5 1
0.466666666666667 0 0.5 1
1 0 0.5 1
0.706666666666667 0 0.5 1
1 0 0.5 1
0.88 0 0.5 1
0.706666666666667 0 0.5 1
0.0266666666666667 0 0.5 1
0.613333333333333 0 0.5 1
0.733333333333333 0 0.5 1
0.32 0 0.5 1
0.893333333333333 0 0.5 1
1 0 0.5 1
0.6 0 0.5 1
0.626666666666667 1 0.5 1
0.946666666666667 1 0.5 1
1 1 0.5 1
0.8 0 0.5 1
0.72 0 0.5 1
0.0133333333333333 0 0.5 1
1 0 0.5 1
0.946666666666667 1 0.5 1
1 1 0.5 1
0.773333333333333 1 0.5 1
0.2 0 0.5 1
0.426666666666667 0 0.5 1
0.0533333333333333 0 0.5 1
0.2 0 0.5 1
0.413333333333333 0 0.5 1
0.893333333333333 1 0.5 1
0.0533333333333333 0 0.5 1
0.786666666666667 0 0.5 1
1 0 0.5 1
0.213333333333333 0 0.5 1
0.853333333333333 0 0.5 1
0.213333333333333 0 0.5 1
0.253333333333333 0 0.5 1
1 0 0.5 1
1 0 0.5 1
1 0 0.5 1
0.666666666666667 0 0.5 1
0.2 0 0.5 1
0.72 0 0.5 1
1 1 0.5 1
1 0 0.5 1
1 1 0.5 1
0.306666666666667 0 0.5 1
0.2 0 0.5 1
1 1 0.5 1
0.613333333333333 0 0.5 1
0.4 0 0.5 1
1 1 0.5 1
0.36 0 0.5 1
1 1 0.5 1
0.373333333333333 0 0.5 1
0.84 0 0.5 1
0.253333333333333 0 0.5 1
0.613333333333333 0 0.5 1
0.0933333333333333 0 0.5 1
1 1 0.5 1
0.826666666666667 0 0.5 1
1 0 0.5 1
0.786666666666667 0 0.5 1
1 1 0.5 1
0.426666666666667 0 0.5 1
0.573333333333333 0 0.5 1
1 0 0.5 1
0.28 0 0.5 1
1 1 0.5 1
1 0 0.5 1
0.0666666666666667 0 0.5 1
1 1 0.5 1
1 1 0.5 1
0.453333333333333 0 0.5 1
0.8 1 0.5 1
0.426666666666667 1 0.5 1
1 0 0.5 1
0.773333333333333 1 0.5 1
0.16 0 0.5 1
1 0 0.5 1
0.306666666666667 0 0.5 1
1 0 0.5 1
1 0 0.5 1
0.0666666666666667 0 0.5 1
0.0533333333333333 0 0.5 1
0.533333333333333 0 0.5 1
0.72 0 0.5 1
1 1 0.5 1
0.853333333333333 0 0.5 1
0.253333333333333 0 0.5 1
0.0133333333333333 0 0.5 1
0.84 0 0.5 1
0.746666666666667 0 0.5 1
1 1 0.5 1
0.16 0 0.5 1
0.226666666666667 0 0.5 1
1 1 0.5 1
0.186666666666667 0 0.5 1
1 0 0.5 1
0.986666666666667 1 0.5 1
0.84 0 0.5 1
1 0 0.5 1
0.706666666666667 0 0.5 1
0.946666666666667 0 0.5 1
1 1 0.5 1
0.52 0 0.5 1
1 1 0.5 1
0.746666666666667 0 0.5 1
0.6 0 0.5 1
0.306666666666667 0 0.5 1
0.48 0 0.5 1
1 0 0.5 1
0.28 0 0.5 1
0.626666666666667 0 0.5 1
0.6 0 0.5 1
0.84 0 0.5 1
1 0 0.5 1
0.76 0 0.5 1
0.586666666666667 0 0.5 1
0.44 0 0.5 1
0.0133333333333333 1 0.5 1
0.0533333333333333 0 0.5 1
0.773333333333333 0 0.5 1
1 0 0.5 1
1 0 0.5 1
0.506666666666667 0 0.5 1
1 0 0.5 1
1 1 0.5 0.5
0.08 0 0.5 0.5
0.34 0 0.5 0.5
0.42 0 0.5 0.5
1 1 0.5 0.5
1 0 0.5 0.5
0.38 0 0.5 0.5
0.06 0 0.5 0.5
0.24 0 0.5 0.5
0.38 0 0.5 0.5
0 0 0.5 0.5
0.9 1 0.5 0.5
1 0 0.5 0.5
1 0 0.5 0.5
1 0 0.5 0.5
1 0 0.5 0.5
0.88 1 0.5 0.5
0 0 0.5 0.5
0.24 0 0.5 0.5
1 1 0.5 0.5
0.12 0 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
0.26 1 0.5 0.5
1 0 0.5 0.5
0.12 0 0.5 0.5
0.2 0 0.5 0.5
0.5 0 0.5 0.5
1 0 0.5 0.5
0.06 0 0.5 0.5
0.68 0 0.5 0.5
0.14 0 0.5 0.5
0.42 0 0.5 0.5
1 1 0.5 0.5
0.82 0 0.5 0.5
0.82 0 0.5 0.5
0.86 0 0.5 0.5
0.94 0 0.5 0.5
0.02 0 0.5 0.5
0.08 0 0.5 0.5
1 0 0.5 0.5
0.14 0 0.5 0.5
0.78 0 0.5 0.5
0 0 0.5 0.5
0.02 0 0.5 0.5
0.08 0 0.5 0.5
1 1 0.5 0.5
0.12 0 0.5 0.5
0.8 0 0.5 0.5
0.92 0 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
0.52 0 0.5 0.5
0.82 0 0.5 0.5
1 0 0.5 0.5
1 1 0.5 0.5
0.74 0 0.5 0.5
1 0 0.5 0.5
0.02 0 0.5 0.5
0.26 0 0.5 0.5
0.02 0 0.5 0.5
0.24 0 0.5 0.5
0 0 0.5 0.5
1 1 0.5 0.5
1 0 0.5 0.5
1 1 0.5 0.5
0.04 0 0.5 0.5
0.06 0 0.5 0.5
0.1 0 0.5 0.5
1 1 0.5 0.5
0.08 0 0.5 0.5
0.74 0 0.5 0.5
1 0 0.5 0.5
1 1 0.5 0.5
0.8 1 0.5 0.5
0.9 1 0.5 0.5
0.2 0 0.5 0.5
0 0 0.5 0.5
1 0 0.5 0.5
0.1 0 0.5 0.5
1 1 0.5 0.5
1 0 0.5 0.5
1 1 0.5 0.5
1 0 0.5 0.5
1 0 0.5 0.5
0.62 0 0.5 0.5
0.32 0 0.5 0.5
0.34 0 0.5 0.5
0.02 0 0.5 0.5
1 0 0.5 0.5
1 1 0.5 0.5
0.82 0 0.5 0.5
0.84 1 0.5 0.5
1 1 0.5 0.5
0.86 1 0.5 0.5
0.9 0 0.5 0.5
0.2 0 0.5 0.5
0.08 0 0.5 0.5
1 0 0.5 0.5
1 1 0.5 0.5
0.34 0 0.5 0.5
0.4 0 0.5 0.5
0.8 1 0.5 0.5
0.04 0 0.5 0.5
0 1 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
0.12 0 0.5 0.5
0.7 0 0.5 0.5
0.16 0 0.5 0.5
1 0 0.5 0.5
0.2 0 0.5 0.5
0.12 0 0.5 0.5
0.8 0 0.5 0.5
0.14 0 0.5 0.5
0.26 0 0.5 0.5
1 1 0.5 0.5
0.2 0 0.5 0.5
0.22 0 0.5 0.5
0.34 0 0.5 0.5
0.66 1 0.5 0.5
1 0 0.5 0.5
0.08 0 0.5 0.5
0.56 1 0.5 0.5
0.5 0 0.5 0.5
0.04 0 0.5 0.5
0.38 0 0.5 0.5
0.12 0 0.5 0.5
0.04 0 0.5 0.5
0.32 0 0.5 0.5
0.14 0 0.5 0.5
1 1 0.5 0.5
0.28 0 0.5 0.5
1 0 0.5 0.5
1 1 0.5 0.5
0.9 0 0.5 0.5
1 0 0.5 0.5
0.24 0 0.5 0.5
0.38 0 0.5 0.5
0.48 0 0.5 0.5
1 1 0.5 0.5
0.14 0 0.5 0.5
0.04 0 0.5 0.5
0 0 0.5 0.5
0 0 0.5 0.5
1 0 0.5 0.5
1 0 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
0.66 0 0.5 0.5
0.26 0 0.5 0.5
0.36 1 0.5 0.5
0.02 0 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
1 0 0.5 0.5
0.28 0 0.5 0.5
1 1 0.5 0.5
0.8 1 0.5 0.5
0.76 0 0.5 0.5
1 1 0.5 0.5
0 0 0.5 0.5
1 1 0.5 0.5
0.08 0 0.5 0.5
1 1 0.5 0.5
0.62 1 0.5 0.5
0.4 0 0.5 0.5
0.02 0 0.5 0.5
0.14 0 0.5 0.5
1 1 0.5 0.5
1 0 0.5 0.5
1 0 0.5 0.5
0.5 0 0.5 0.5
0.42 0 0.5 0.5
1 1 0.5 0.5
0.42 0 0.5 0.5
0.5 0 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
0.24 1 0.5 0.5
0.06 0 0.5 0.5
0.36 0 0.5 0.5
0.28 0 0.5 0.5
0.08 0 0.5 0.5
0.02 0 0.5 0.5
0.34 0 0.5 0.5
0.86 0 0.5 0.5
0.02 0 0.5 0.5
1 1 0.5 0.5
0 0 0.5 0.5
1 0 0.5 0.5
0.94 1 0.5 0.5
1 1 0.5 0.5
0.68 0 0.5 0.5
0 0 0.5 0.5
0.64 1 0.5 0.5
0 0 0.5 0.5
0 0 0.5 0.5
1 1 0.5 0.5
1 0 0.5 0.5
0.04 0 0.5 0.5
0.26 0 0.5 0.5
1 0 0.5 0.5
1 0 0.5 0.5
1 0 0.5 0.5
0.02 0 0.5 0.5
1 0 0.5 0.5
0.04 0 0.5 0.5
0 0 0.5 0.5
0.78 1 0.5 0.5
1 1 0.5 0.5
0.32 1 0.5 0.5
0.4 0 0.5 0.5
1 1 0.5 0.5
0.96 0 0.5 0.5
1 0 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
0.36 0 0.5 0.5
1 0 0.5 0.5
0.98 0 0.5 0.5
1 0 0.5 0.5
0.4 1 0.5 0.5
1 0 0.5 0.5
0.18 0 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
1 0 0.5 0.5
0.12 0 0.5 0.5
0.68 0 0.5 0.5
1 1 0.5 0.5
0.68 0 0.5 0.5
0.28 0 0.5 0.5
0.06 0 0.5 0.5
0.9 0 0.5 0.5
0.74 0 0.5 0.5
0.52 0 0.5 0.5
0.48 0 0.5 0.5
1 0 0.5 0.5
0.16 0 0.5 0.5
1 0 0.5 0.5
0.24 0 0.5 0.5
0.12 0 0.5 0.5
1 1 0.5 0.5
0.3 0 0.5 0.5
0 0 0.5 0.5
0.12 0 0.5 0.5
0.1 0 0.5 0.5
0.04 0 0.5 0.5
0 0 0.5 0.5
1 0 0.5 0.5
1 1 0.5 0.5
0.04 0 0.5 0.5
0.04 0 0.5 0.5
0.14 0 0.5 0.5
0.68 0 0.5 0.5
0.08 0 0.5 0.5
1 0 0.5 0.5
0.42 0 0.5 0.5
0.7 0 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
0.44 0 0.5 0.5
0 0 0.5 0.5
1 0 0.5 0.5
1 0 0.5 0.5
0.04 0 0.5 0.5
0 0 0.5 0.5
0.26 0 0.5 0.5
1 1 0.5 0.5
0.14 0 0.5 0.5
1 1 0.5 0.5
0.1 0 0.5 0.5
1 1 0.5 0.5
1 0 0.5 0.5
1 1 0.5 0.5
1 0 0.5 0.5
1 0 0.5 0.5
1 0 0.5 0.5
0.02 0 0.5 0.5
0.04 0 0.5 0.5
1 0 0.5 0.5
0.82 1 0.5 0.5
0.56 0 0.5 0.5
0.1 0 0.5 0.5
0.08 0 0.5 0.5
1 1 0.5 0.5
0.18 0 0.5 0.5
1 1 0.5 0.5
0.96 1 0.5 0.5
0.34 0 0.5 0.5
1 1 0.5 0.5
0.76 1 0.5 0.5
0.48 0 0.5 0.5
0.06 0 0.5 0.5
0.76 0 0.5 0.5
0.04 0 0.5 0.5
1 1 0.5 0.5
0.06 0 0.5 0.5
0.5 0 0.5 0.5
0.34 0 0.5 0.5
0.16 0 0.5 0.5
0.52 1 0.5 0.5
0.02 0 0.5 0.5
0.2 0 0.5 0.5
0.16 0 0.5 0.5
0.42 0 0.5 0.5
1 1 0.5 0.5
0.58 0 0.5 0.5
1 0 0.5 0.5
0.2 0 0.5 0.5
1 1 0.5 0.5
0.42 0 0.5 0.5
0.86 1 0.5 0.5
0.14 0 0.5 0.5
0.1 0 0.5 0.5
1 1 0.5 0.5
0.08 0 0.5 0.5
0 0 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
0.28 0 0.5 0.5
0.14 0 0.5 0.5
0.28 0 0.5 0.5
0.78 0 0.5 0.5
0.14 0 0.5 0.5
0.24 0 0.5 0.5
0.1 1 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
0.56 0 0.5 0.5
1 0 0.5 0.5
0.24 0 0.5 0.5
1 1 0.5 0.5
0 0 0.5 0.5
0.12 0 0.5 0.5
1 1 0.5 0.5
0.3 0 0.5 0.5
0.2 0 0.5 0.5
1 0 0.5 0.5
1 1 0.5 0.5
0 0 0.5 0.5
1 0 0.5 0.5
1 1 0.5 0.5
0.52 0 0.5 0.5
0.34 0 0.5 0.5
0 0 0.5 0.5
0.3 0 0.5 0.5
1 0 0.5 0.5
1 1 0.5 0.5
0.08 0 0.5 0.5
0 0 0.5 0.5
0.96 0 0.5 0.5
0.28 0 0.5 0.5
1 1 0.5 0.5
0.56 1 0.5 0.5
0.76 0 0.5 0.5
0.26 0 0.5 0.5
0.18 0 0.5 0.5
0.78 0 0.5 0.5
0.16 0 0.5 0.5
1 0 0.5 0.5
0.98 1 0.5 0.5
0.66 0 0.5 0.5
0.82 0 0.5 0.5
0.16 0 0.5 0.5
0.94 0 0.5 0.5
0 0 0.5 0.5
0.02 0 0.5 0.5
0.08 0 0.5 0.5
0.06 0 0.5 0.5
0.54 0 0.5 0.5
0.54 0 0.5 0.5
0.32 0 0.5 0.5
1 0 0.5 0.5
0.44 0 0.5 0.5
0.08 0 0.5 0.5
0 0 0.5 0.5
0.04 0 0.5 0.5
0.52 0 0.5 0.5
0 0 0.5 0.5
0 0 0.5 0.5
1 0 0.5 0.5
0.12 0 0.5 0.5
0.8 1 0.5 0.5
0.06 1 0.5 0.5
1 1 0.5 0.5
0.76 0 0.5 0.5
0.02 0 0.5 0.5
0.04 0 0.5 0.5
0.72 0 0.5 0.5
0.96 1 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
0.28 0 0.5 0.5
0.22 0 0.5 0.5
0.42 0 0.5 0.5
0.02 0 0.5 0.5
0.62 0 0.5 0.5
0.48 1 0.5 0.5
0.08 0 0.5 0.5
0.96 0 0.5 0.5
0.02 0 0.5 0.5
0.08 0 0.5 0.5
0.14 0 0.5 0.5
0.14 0 0.5 0.5
0 0 0.5 0.5
1 0 0.5 0.5
0.64 0 0.5 0.5
0.68 0 0.5 0.5
0.08 0 0.5 0.5
0.06 0 0.5 0.5
0.26 0 0.5 0.5
1 1 0.5 0.5
1 0 0.5 0.5
0.86 1 0.5 0.5
0.16 0 0.5 0.5
0 0 0.5 0.5
1 1 0.5 0.5
0.06 0 0.5 0.5
0.12 0 0.5 0.5
1 1 0.5 0.5
0 0 0.5 0.5
1 1 0.5 0.5
0.12 0 0.5 0.5
0.12 0 0.5 0.5
0 0 0.5 0.5
0.04 0 0.5 0.5
0.02 0 0.5 0.5
1 1 0.5 0.5
0.26 0 0.5 0.5
1 0 0.5 0.5
0.34 0 0.5 0.5
0.92 1 0.5 0.5
0.04 0 0.5 0.5
0.2 0 0.5 0.5
1 0 0.5 0.5
0.1 0 0.5 0.5
0.62 1 0.5 0.5
1 0 0.5 0.5
0.12 0 0.5 0.5
1 1 0.5 0.5
1 1 0.5 0.5
0.38 0 0.5 0.5
0.44 1 0.5 0.5
1 1 0.5 0.5
0.48 0 0.5 0.5
0.86 1 0.5 0.5
0.98 0 0.5 0.5
1 0 0.5 0.5
0.12 0 0.5 0.5
0.46 0 0.5 0.5
1 0 0.5 0.5
0.24 0 0.5 0.5
0.08 0 0.5 0.5
0.32 0 0.5 0.5
1 0 0.5 0.5
1 1 0.5 0.5
0.38 0 0.5 0.5
0.22 0 0.5 0.5
0.08 0 0.5 0.5
0.22 0 0.5 0.5
0.32 0 0.5 0.5
1 1 0.5 0.5
0 0 0.5 0.5
0.02 0 0.5 0.5
1 1 0.5 0.5
0.12 0 0.5 0.5
0.62 0 0.5 0.5
0.92 1 0.5 0.5
0.38 0 0.5 0.5
1 0 0.5 0.5
0.48 0 0.5 0.5
0 0 0.5 0.5
1 1 0.5 0.5
0.16 0 0.5 0.5
1 1 0.5 0.5
0.1 0 0.5 0.5
0.32 0 0.5 0.5
0.02 0 0.5 0.5
0.02 0 0.5 0.5
0.7 0 0.5 0.5
0.32 0 0.5 0.5
0.14 0 0.5 0.5
0.18 0 0.5 0.5
0.88 0 0.5 0.5
1 0 0.5 0.5
0.04 0 0.5 0.5
0.14 0 0.5 0.5
0.1 0 0.5 0.5
0.4 1 0.5 0.5
0.02 0 0.5 0.5
0.28 0 0.5 0.5
0.38 0 0.5 0.5
1 0 0.5 0.5
0.08 0 0.5 0.5
1 0 0.5 0.5
