Mixture	celltype 1	celltype 2	celltype 3	celltype 4	celltype 5	celltype 6	celltype 7	celltype 8	P-value	Correlation	RMSE	Absolute score (sig.score)
ID1	0.971020920249126	0.106574607707562	0	0	0	0.00938661787029813	0	0	0	0.995466684745282	0.162272972778888	1.08698214582699
ID2	0.248511225559432	0.23121172375126	0.239450471374666	0.343559202807462	0	0	0	0	0	0.982664263232908	0.5156477309338	1.06273262349282
ID3	0.090015266012314	0.722492160563152	0.0783571155489417	0	0.00676441254620082	0	0	0.00631102846563414	0	0.993911360453721	0.372604809260505	0.903939983136243
ID4	0.0681436507722687	0.722738806558253	0.0248806537030558	0	0.0654704845897373	0	0	0	0	0.992281768472091	0.372916027409549	0.881233595623315
ID5	0.560685392359705	0.068688480947211	0.0745627409223366	0.414899728555708	0	0.0176974263244538	0	0	0	0.992692317903291	0.320287508976431	1.13653376910941
ID6	0.163680899473086	0.0599322793870315	0.269245315324397	0.596936259380276	0	0.0427465059447668	0	0	0	0.989609449240914	0.437288790004929	1.13254125950956
ID7	0.831039139495226	0.223568769976323	0	0	0	0	0	0	0	0.99531972651492	0.10917463363253	1.05460790947155
ID8	0.937464174737814	0.146406721838031	0	0	0	0	0	0	0	0.995887232621931	0.141994371010469	1.08387089657584
ID9	0.445578001296531	0.538799477403499	0	0	0	0	0	0.0039012961947536	0	0.994763733440705	0.229778856988746	0.988278774894783
ID10	0.546723407591772	0.459547102171718	0	0	0	0	0	0	0	0.995654414313694	0.179116132261814	1.00627050976349
ID11	1.01596785861834	0.0545807664757614	0	0	0	0.0422972296685592	0	0	0	0.996860376386168	0.160714555716706	1.11284585476266
ID12	0.639099668534638	0.0961573545175832	0.163932602770441	0.0953126399231528	0.00052506454238601	0.0724088504820311	0	0	0	0.993695043609546	0.247299953169202	1.06743618077023
ID13	1.07884496544182	0	0	0	0.000642448186435525	0.0242981878701134	0	0.00175803093151154	0	0.99641902625124	0.219772998616032	1.10554363242988
ID14	1.03439241472279	0.0124227534153473	0	0	0.0138571668482572	0.0119340941997753	0	0.034705708758461	0	0.997049059830684	0.176899193575607	1.10731213794463
ID15	0.955986685305083	0.122784580303769	0	0	0	0	0	0	0	0.995919949127434	0.156319515954326	1.07877126560885
ID16	0.0216554391221448	0.204398316184955	0.656953139858248	0	0	0	0	0	0	0.989165752728765	0.443347645491064	0.883006895165348
ID17	0.401943262366348	0.431111902887531	0.140100776537636	0	0	0	0	0	0	0.990636482796029	0.319330442226814	0.973155941791515
ID18	1.10528464095767	0	0	0	0	0.0119292446041609	0	0.00272272066338827	0	0.996059743537151	0.233752531517303	1.11993660622522
ID19	0.484416578347247	0.0164527787533338	0.0848424010377885	0	0.187810575691868	0.23200660623525	0	0	0	0.991350401775531	0.337803576155903	1.00552894006549
ID20	0.56644198930007	0.0122539534002694	0.434107583215937	0	0	0	0	0	0	0.992938523552977	0.250280744979709	1.01280352591628
ID21	0.776373711414586	0.0368086284825073	0.200762484336485	0.0555267539796503	0	0	0	0	0	0.99404542831432	0.135680902218367	1.06947157821323
ID22	0.897222768592213	0	0.0912486019533098	0	0	0.11621248498393	0	0.000722899114182069	0	0.995098940290934	0.0989682931144452	1.10540675464364
ID23	0.285718496728323	0.515116998117896	0.0958966362253291	0	0	0.0458698085193651	0	0.00975663281709697	0	0.992375437262369	0.375767706747235	0.95235857240801
ID24	0.216081869583036	0.25745383239767	0	0.683870354245013	0	0	0	0	0	0.991957684438976	0.328748150826013	1.15740605622572
ID25	0.718173541255104	0.0469294571938914	0.261876264215106	0.0146141350079762	0	0	0	0	0	0.99405893640239	0.155368696331388	1.04159339767208
ID26	0.0849979834241188	0.520373249243862	0.28339003163953	0	0	0	0	0	0	0.986725413059763	0.48522536847094	0.888761264307511
ID27	0.783235783833937	0.228240563041225	0.0280670700560727	0	0.00916317987965592	0	0	0	0	0.994886944062734	0.106902261415301	1.04870659681089
ID28	0.605057568325628	0.331159621805023	0.0795488168903508	0	0	0	0	0	0	0.993940665260972	0.183553260348275	1.015766007021
ID29	0.304968244307196	0.481738025460456	0.0287637443485867	0.0228481653154168	0.0896035812358665	0	0	0	0	0.992111942410774	0.352061371445431	0.927921760667522
ID30	0.791357640528577	0	0.0687883602400215	0.159734949777642	0	0.0813910702263796	0	0	0	0.994238903601328	0.152979577658263	1.10127202077262
ID31	0.879169621079182	0.172916222135564	0	0	0	0.0160416460397716	0	0.0269605746719588	0	0.995940697365745	0.0998965521972944	1.09508806392648
ID32	0.0705387249008079	0.0178002171687305	0.78806283495528	0.0666359236022178	0.00434483007138824	0	0	0	0	0.991039599972828	0.390597219127093	0.947382530698425
ID33	0.44972736135404	0.437162789010951	0.0665350677595661	0.0268216540889114	0	0.00827396632583513	0	0.00364171349686593	0	0.991802955934051	0.283124673763464	0.992162552036169
ID34	0.471533169453594	0.360210849968994	0.00586020683445066	0.154308626827965	0.0327205830388079	0	0	0	0	0.99045874265508	0.306159426533199	1.02463343612381
ID35	0.170004290553638	0.213445811486465	0.169539461528519	0.288070130617295	0.16269046339465	0.00394682130049376	0	0.0205962689303702	0	0.983363570206762	0.575815537068985	1.02829324781143
ID36	0.783158665013337	0.176876270319138	0.0859433679359025	0	0	0	0	0	0	0.994983511766799	0.106453783662304	1.04597830326838
ID37	0.186312028882153	0.702317887330042	0	0	0.0109048486412494	0.0229586363987538	0	0.0063421112373379	0	0.992846035691416	0.33242042008959	0.928835512489536
ID38	0.95505628732249	0.0685660028959131	0	0.119214582692255	0	0	0	0	0	0.994772081910349	0.109939886193256	1.14283687291066
ID39	0.3501854807331	0.601093812265807	0	0	0	0	0	0	0	0.99427054859699	0.264854678200653	0.951279292998908
ID40	0.375438358377057	0.0961740446996718	0.409589485815689	0.142123037541706	0.00194483970938767	0	0	0	0	0.98579844378602	0.447821062093558	1.02526976614351
ID41	0.318735799640313	0.636574956280433	0	0	0	0	0	0.00157145739746601	0	0.993600542625327	0.279092064774275	0.956882213318213
ID42	0.191488097345325	0	0.533643882209027	0.219756535199947	0.0626782923883362	0	0	0	0	0.982692933034429	0.524480343886632	1.00756680714264
ID43	0.327194282470177	0.415764751720366	0.0399231113569685	0.0766360502683745	0.105131491323882	0	0	0	0	0.991685262321049	0.383041831676343	0.964649687139769
ID44	0.434342741948741	0.545587990334237	0	0	0	0	0	0	0	0.994178026844589	0.234386885767324	0.979930732282978
ID45	0.560703797563232	0.43941873009945	0	0	0	0	0	0	0	0.994095523346368	0.177500015260613	1.00012252766268
ID46	0.0857861372012375	0.426523964150884	0.260398000751774	0	0	0.187472835281192	0	0	0	0.984091673961907	0.567769544487402	0.960180937385088
ID47	1.11197101052649	0	0	0	0	0.00944033384634383	0	0	0	0.995412088801369	0.242022674908471	1.12141134437283
ID48	0.788823473331505	0.215032930555617	0.0425030480798643	0	0	0	0	0	0	0.995166930778395	0.103438815992369	1.04635945196699
ID49	0.170468592509464	0.531918188354397	0.196953621197604	0.0428983501957858	0	0	0	0	0	0.988162896303402	0.459888283393043	0.942238752257251
ID50	0.715117180179572	0.146301165496815	0.00705839965853517	0.238315929878602	0	0	0	0	0	0.992437508126867	0.193144045577668	1.10679267521352
ID51	0.0827275485516901	0	0.608700453373491	0.284677373460057	0	0.0673371808822125	0	0.0382035138972245	0	0.985676765599742	0.542806157952082	1.08164607016467
ID52	1.01479905250893	0.0421386464270786	0	0	0.0118666820398729	0.0185467106060589	0	0.00631650662842699	0	0.996190071387359	0.180086612271835	1.09366759821037
ID53	0.566688580467348	0.34024751506681	0	0.00900370950630464	0.0736171524758321	0.0198185214423889	0	0.00192622633490954	0	0.995377550187348	0.199577515831051	1.01130170529359
ID54	0.344670969280891	0.413382820566677	0.0949721834765619	0.174344225781644	0	0	0	0.0060471180399222	0	0.991323609917093	0.408491110921462	1.0334173171457
ID55	0.350471770005136	0.305472669981542	0	0.467193228249591	0	0.00174661156434477	0	0	0	0.991379182088938	0.377920902830194	1.12488427980061
ID56	0.850206383264633	0.0106203659636505	0.167159740978005	0	0	0.04231316267232	0	0	0	0.995382646828267	0.0972551377841165	1.07029965287861
ID57	0	0.164580462100811	0.653464278421797	0.125621083452111	0	0	0	0	0	0.988658116988072	0.488097940657507	0.943665823974719
ID58	0.481254446858804	0.0345586845141018	0.482320910866818	0	0	0.00966552637195992	0	0	0	0.992543831803328	0.309614515037168	1.00779956861168
ID59	0.909123086596886	0.126523719661366	0.0256330471022105	0	0	0	0	0.019188999292445	0	0.995587855064977	0.121100275292137	1.08046885265291
ID60	0.144556997483686	0.590478408719737	0.0406451726344457	0.0448605860817977	0.082115726093709	0.0263294872497721	0	0	0	0.990607132870261	0.434575799997591	0.928986378263148
ID61	0.221206387232202	0.206939443879964	0.0131780918807182	0.371013582454281	0.210743309859118	0	0	0	0	0.984632363678694	0.478376237151104	1.02308081530628
ID62	0.162802482229779	0.0859949278117099	0.34778027860518	0.421139422476479	0	0.0587631093887187	0	0	0	0.98477624068276	0.533734258252928	1.07648022051187
ID63	0.0450432524409184	0.341130977223412	0.513375154676791	0	0	0	0	0	0	0.98742857232553	0.501979290177694	0.899549384341122
ID64	0.755530958020397	0.154166106944853	0.129392369906758	0	0	0	0	0	0	0.994779718957182	0.117200396117234	1.03908943487201
