diff	method	para
0.000508280305864472	alpha_1	simulation4
-0.0566947556701234	alpha_1	simulation4
-0.0223391552372915	alpha_1	simulation4
-0.0584124242505804	alpha_1	simulation4
-0.064836910630067	alpha_1	simulation4
-0.0615117000260732	alpha_1	simulation4
-0.063760094256627	alpha_1	simulation4
-0.0467093648736367	alpha_1	simulation4
0.000162923702419104	alpha_1	simulation4
-0.0513651648631597	alpha_1	simulation4
-0.037072228413344	alpha_1	simulation4
-0.048744455738966	alpha_1	simulation4
-0.0588733941677627	alpha_1	simulation4
-0.0583872074930793	alpha_1	simulation4
-0.0781499723997253	alpha_1	simulation4
-0.0380505913213048	alpha_1	simulation4
-0.00247205834373676	alpha_1	simulation4
-0.0513297582344262	alpha_1	simulation4
-0.0395099631963442	alpha_1	simulation4
-0.0498941103666723	alpha_1	simulation4
-0.0545519728747615	alpha_1	simulation4
-0.0512483025318781	alpha_1	simulation4
-0.0894667087739766	alpha_1	simulation4
-0.0297790536531971	alpha_1	simulation4
-0.00219903493948354	alpha_1	simulation4
-0.0318641300250704	alpha_1	simulation4
-0.0652637068364687	alpha_1	simulation4
-0.0679582710396072	alpha_1	simulation4
-0.0661232532920703	alpha_1	simulation4
-0.0504666811141634	alpha_1	simulation4
-0.0525242646971072	alpha_1	simulation4
-0.0480481970483067	alpha_1	simulation4
-0.00464784177725794	alpha_1	simulation4
-0.0809428892121906	alpha_1	simulation4
-0.0765906643719558	alpha_1	simulation4
-0.0133612409679917	alpha_1	simulation4
-0.0578320959761245	alpha_1	simulation4
-0.0598636469967625	alpha_1	simulation4
-0.0435919176723978	alpha_1	simulation4
-0.0491536244755641	alpha_1	simulation4
0.00145870078150789	alpha_1	simulation4
-0.050443288889245	alpha_1	simulation4
-0.03320671253205	alpha_1	simulation4
-0.0532589338352049	alpha_1	simulation4
-0.0626443828196899	alpha_1	simulation4
-0.0607013057654676	alpha_1	simulation4
-0.0713973542024303	alpha_1	simulation4
-0.0403221290337434	alpha_1	simulation4
-0.00318391216222479	alpha_1	simulation4
-0.0311320982110539	alpha_1	simulation4
-0.0568166963047045	alpha_1	simulation4
-0.0733233143043246	alpha_1	simulation4
-0.0754039677741636	alpha_1	simulation4
-0.057227902025102	alpha_1	simulation4
-0.0326052136103753	alpha_1	simulation4
-0.0596825814941155	alpha_1	simulation4
-0.00193540659281377	alpha_1	simulation4
-0.034727386144128	alpha_1	simulation4
-0.0520580022407376	alpha_1	simulation4
-0.0551384303556074	alpha_1	simulation4
-0.0528667049350815	alpha_1	simulation4
-0.0549622518131635	alpha_1	simulation4
-0.0829866777433589	alpha_1	simulation4
-0.0346586114919033	alpha_1	simulation4
0.00180909726930623	alpha_1	simulation4
-0.0351481832733264	alpha_1	simulation4
-0.0539167423045593	alpha_1	simulation4
-0.0590195518097885	alpha_1	simulation4
-0.0600082361484812	alpha_1	simulation4
-0.0549040772769376	alpha_1	simulation4
-0.0714681703420883	alpha_1	simulation4
-0.041329208001443	alpha_1	simulation4
-0.000814685165691886	alpha_1	simulation4
-0.0350783000000209	alpha_1	simulation4
-0.0781555190343911	alpha_1	simulation4
-0.061720597480903	alpha_1	simulation4
-0.0531294380257307	alpha_1	simulation4
-0.053280587197023	alpha_1	simulation4
-0.0522136808222773	alpha_1	simulation4
-0.0487534450017038	alpha_1	simulation4
-0.00157714163538092	alpha_1	simulation4
-0.0627068780529025	alpha_1	simulation4
-0.0541379518449398	alpha_1	simulation4
-0.0380871640025732	alpha_1	simulation4
-0.0527489430482254	alpha_1	simulation4
-0.0544900207163238	alpha_1	simulation4
-0.0725063094591438	alpha_1	simulation4
-0.0369333541588617	alpha_1	simulation4
-0.00130826282112639	alpha_1	simulation4
-0.0396743674192685	alpha_1	simulation4
-0.0530900325954967	alpha_1	simulation4
-0.0504173313189758	alpha_1	simulation4
-0.0524062375139761	alpha_1	simulation4
-0.0514444919169834	alpha_1	simulation4
-0.0907482608197487	alpha_1	simulation4
-0.0287389732374315	alpha_1	simulation4
0.00124296744783373	alpha_1	simulation4
-0.0752641367074043	alpha_1	simulation4
-0.0050048942325035	alpha_1	simulation4
-0.0613166556451536	alpha_1	simulation4
-0.0868941467056625	alpha_1	simulation4
-0.0694270653098327	alpha_1	simulation4
-0.0224602462850172	alpha_1	simulation4
-0.0665578743977593	alpha_1	simulation4
-0.000452615555473046	alpha_1	simulation4
-0.0396921869447523	alpha_1	simulation4
-0.0649784373442308	alpha_1	simulation4
-0.0595038007736148	alpha_1	simulation4
-0.0583335407372179	alpha_1	simulation4
-0.0519521936778767	alpha_1	simulation4
-0.059966426988693	alpha_1	simulation4
-0.0442883895356895	alpha_1	simulation4
-0.00198772166944267	alpha_1	simulation4
-0.0442386879106858	alpha_1	simulation4
-0.0720812450775743	alpha_1	simulation4
-0.0469331218443943	alpha_1	simulation4
-0.0526847282697478	alpha_1	simulation4
-0.0546951934232509	alpha_1	simulation4
-0.0596485915475011	alpha_1	simulation4
-0.047055760457649	alpha_1	simulation4
-0.00390806516647155	alpha_1	simulation4
-0.0742536860478353	alpha_1	simulation4
-0.0676202282987808	alpha_1	simulation4
-0.0398680829493222	alpha_1	simulation4
-0.0543432848295244	alpha_1	simulation4
-0.059044535219724	alpha_1	simulation4
-0.0369419966281908	alpha_1	simulation4
-0.0503808548792969	alpha_1	simulation4
-0.000912266435733833	alpha_1	simulation4
-0.0372082709132084	alpha_1	simulation4
-0.0467643355851603	alpha_1	simulation4
-0.0550942009098019	alpha_1	simulation4
-0.055896700146829	alpha_1	simulation4
-0.0580210112078465	alpha_1	simulation4
-0.0821655439848266	alpha_1	simulation4
-0.0333469873014623	alpha_1	simulation4
-0.00356881077348548	alpha_1	simulation4
-0.0202976739045077	alpha_1	simulation4
-0.084672349693178	alpha_1	simulation4
-0.0706585826397987	alpha_1	simulation4
-0.0650896704649455	alpha_1	simulation4
-0.0474073705964624	alpha_1	simulation4
-0.0474352094841532	alpha_1	simulation4
-0.049352464884068	alpha_1	simulation4
-0.00309513030996966	alpha_1	simulation4
-0.0501416736843067	alpha_1	simulation4
-0.0543963953182034	alpha_1	simulation4
-0.0393097009641584	alpha_1	simulation4
-0.047756927588068	alpha_1	simulation4
-0.0564842495185104	alpha_1	simulation4
-0.0891014483603603	alpha_1	simulation4
-0.0271992688519917	alpha_1	simulation4
-0.00403113516342424	alpha_1	simulation4
-0.0168682660588215	alpha_1	simulation4
-0.0758873070918789	alpha_1	simulation4
