diff	method	para
0.204483170103252	alpha_1	simulation5
-0.00558384085935273	alpha_1	simulation5
-0.0464650191371282	alpha_1	simulation5
-0.0561953195718939	alpha_1	simulation5
-0.0459993228592171	alpha_1	simulation5
-0.066315245600007	alpha_1	simulation5
-0.153661499287216	alpha_1	simulation5
-0.0251189646559192	alpha_1	simulation5
0.0659177614584918	alpha_1	simulation5
-0.0399697615442373	alpha_1	simulation5
-0.00935150135453863	alpha_1	simulation5
0.0292125429850553	alpha_1	simulation5
-0.0922879153798662	alpha_1	simulation5
-0.0773431211059802	alpha_1	simulation5
-0.0522911632770416	alpha_1	simulation5
-0.0600441286883006	alpha_1	simulation5
0.0424851412725288	alpha_1	simulation5
0.139684993582915	alpha_1	simulation5
-0.0722771534258815	alpha_1	simulation5
-0.101555475427764	alpha_1	simulation5
-0.0949907143877925	alpha_1	simulation5
-0.0684946594861393	alpha_1	simulation5
-0.0310932647522625	alpha_1	simulation5
-0.0582768622967884	alpha_1	simulation5
0.0361313847585705	alpha_1	simulation5
0.146655694565635	alpha_1	simulation5
-0.0969813765153329	alpha_1	simulation5
-0.100896501040728	alpha_1	simulation5
-0.0802495270781979	alpha_1	simulation5
-0.0601218133128816	alpha_1	simulation5
-0.0289348581419098	alpha_1	simulation5
-0.0639434091475917	alpha_1	simulation5
0.107978021663071	alpha_1	simulation5
-0.0733090325262571	alpha_1	simulation5
-0.044891841119854	alpha_1	simulation5
0.0458166862117399	alpha_1	simulation5
-0.0661335570033828	alpha_1	simulation5
-0.0686711484980871	alpha_1	simulation5
-0.0829819461310272	alpha_1	simulation5
-0.0404162359094849	alpha_1	simulation5
0.0446840033694588	alpha_1	simulation5
-0.110252858277436	alpha_1	simulation5
-0.0133188737873375	alpha_1	simulation5
0.0928046507507869	alpha_1	simulation5
-0.0884925034620554	alpha_1	simulation5
-0.0654046828087007	alpha_1	simulation5
-0.0425496118256624	alpha_1	simulation5
-0.0598457234542218	alpha_1	simulation5
0.186260750122462	alpha_1	simulation5
0.0173864860257665	alpha_1	simulation5
-0.054322020840021	alpha_1	simulation5
-0.0657489526599589	alpha_1	simulation5
-0.0558415592204808	alpha_1	simulation5
-0.0670731013727443	alpha_1	simulation5
-0.139584087662994	alpha_1	simulation5
-0.021777917936885	alpha_1	simulation5
0.195008800913447	alpha_1	simulation5
-0.00408377446816033	alpha_1	simulation5
-0.0472309838213592	alpha_1	simulation5
