diff	method	para
3.22158731728072	alpha_1	simulation11
0.467108425889727	alpha_1	simulation11
-0.0732499079300166	alpha_1	simulation11
-0.0646960301570051	alpha_1	simulation11
-0.0996148169683775	alpha_1	simulation11
-0.0448323266129164	alpha_1	simulation11
-0.0503012280089212	alpha_1	simulation11
-0.0701219723035868	alpha_1	simulation11
0.716944285765218	alpha_1	simulation11
0.882307949065186	alpha_1	simulation11
1.01022168560048	alpha_1	simulation11
1.20578265678977	alpha_1	simulation11
-0.0824998067468619	alpha_1	simulation11
-0.0377976431198644	alpha_1	simulation11
-0.0541093773963009	alpha_1	simulation11
-0.0690303736961627	alpha_1	simulation11
0.213901997180162	alpha_1	simulation11
2.98518624041907	alpha_1	simulation11
0.417949298000595	alpha_1	simulation11
-0.0460992220030521	alpha_1	simulation11
0.0194695503718584	alpha_1	simulation11
0.0186410817005638	alpha_1	simulation11
0.00687538471002451	alpha_1	simulation11
-0.0431289729858952	alpha_1	simulation11
0.135412988273437	alpha_1	simulation11
3.11749218679483	alpha_1	simulation11
0.20354828298379	alpha_1	simulation11
-0.0643986766005065	alpha_1	simulation11
0.297644874174997	alpha_1	simulation11
0.0201978855626779	alpha_1	simulation11
-0.016287146051375	alpha_1	simulation11
-0.0704387190460832	alpha_1	simulation11
1.54402445556994	alpha_1	simulation11
0.307127078371729	alpha_1	simulation11
0.378075427531763	alpha_1	simulation11
1.23075234984883	alpha_1	simulation11
0.0366544123011454	alpha_1	simulation11
0.0224244030513433	alpha_1	simulation11
0.00624069806195473	alpha_1	simulation11
-0.03340590410862	alpha_1	simulation11
0.441394686780452	alpha_1	simulation11
0.211859406631451	alpha_1	simulation11
1.01247120630048	alpha_1	simulation11
1.87489221146881	alpha_1	simulation11
-0.00259511793699062	alpha_1	simulation11
0.171581390586608	alpha_1	simulation11
-0.0166233216460579	alpha_1	simulation11
-0.0519412796485688	alpha_1	simulation11
2.83389712601232	alpha_1	simulation11
0.868238568279024	alpha_1	simulation11
-0.0487250921798816	alpha_1	simulation11
-0.0715476614092215	alpha_1	simulation11
-0.101797262934984	alpha_1	simulation11
-0.0473311895603592	alpha_1	simulation11
-0.0517967776158444	alpha_1	simulation11
-0.0672999478194621	alpha_1	simulation11
2.99766339416764	alpha_1	simulation11
0.570960681420149	alpha_1	simulation11
0.0194535856227498	alpha_1	simulation11
-0.0236143618523093	alpha_1	simulation11
-0.0868821374729825	alpha_1	simulation11
-0.043901755639131	alpha_1	simulation11
-0.0525310710369023	alpha_1	simulation11
-0.0690274421515366	alpha_1	simulation11
1.57040456044172	alpha_1	simulation11
2.17232141713497	alpha_1	simulation11
-0.0206063815912035	alpha_1	simulation11
-0.0562787945994102	alpha_1	simulation11
-0.0861883040417348	alpha_1	simulation11
-0.041684461611223	alpha_1	simulation11
-0.0545402276782321	alpha_1	simulation11
-0.0715479546096071	alpha_1	simulation11
1.89362220034154	alpha_1	simulation11
1.88134901926708	alpha_1	simulation11
-0.0611410869098927	alpha_1	simulation11
-0.0656138054845523	alpha_1	simulation11
-0.0906027846295394	alpha_1	simulation11
-0.0474395029439861	alpha_1	simulation11
-0.0569644902932991	alpha_1	simulation11
-0.07032529666892	alpha_1	simulation11
3.32637413101613	alpha_1	simulation11
0.238051040272994	alpha_1	simulation11
-0.0663862800601093	alpha_1	simulation11
-0.0400564670347933	alpha_1	simulation11
-0.0906641391298132	alpha_1	simulation11
0.0328361177886987	alpha_1	simulation11
-0.0430378657459866	alpha_1	simulation11
-0.0697012798613262	alpha_1	simulation11
1.73998940606311	alpha_1	simulation11
0.444928984056615	alpha_1	simulation11
0.616511256320564	alpha_1	simulation11
0.307750952149514	alpha_1	simulation11
0.177381906392588	alpha_1	simulation11
0.288452727303127	alpha_1	simulation11
0.000116513157086056	alpha_1	simulation11
-0.0147037386700791	alpha_1	simulation11
3.40851298210054	alpha_1	simulation11
0.0545928586800628	alpha_1	simulation11
0.00571210737963165	alpha_1	simulation11
-0.0470919211589061	alpha_1	simulation11
0.00296266834713392	alpha_1	simulation11
-0.0408242148898179	alpha_1	simulation11
-0.0224454314729287	alpha_1	simulation11
-0.0619312355523158	alpha_1	simulation11
3.07541052844269	alpha_1	simulation11
0.13079794354738	alpha_1	simulation11
0.0192292370569619	alpha_1	simulation11
0.0159373180511723	alpha_1	simulation11
0.0721922709263615	alpha_1	simulation11
-0.0440223859450272	alpha_1	simulation11
0.0282142812648903	alpha_1	simulation11
0.0461941688502169	alpha_1	simulation11
3.06837066985869	alpha_1	simulation11
0.475295444871049	alpha_1	simulation11
-0.071346481890217	alpha_1	simulation11
-0.0131114805976658	alpha_1	simulation11
-0.00533592273851096	alpha_1	simulation11
-0.0137170945050187	alpha_1	simulation11
-0.0497326919636841	alpha_1	simulation11
-0.070294933838401	alpha_1	simulation11
0.0232700350934021	alpha_1	simulation11
0.853674554981511	alpha_1	simulation11
3.0600791657013	alpha_1	simulation11
-0.0412175710192142	alpha_1	simulation11
0.0946877425000534	alpha_1	simulation11
-0.0225308186548585	alpha_1	simulation11
-0.0564453060196918	alpha_1	simulation11
-0.0676973644542236	alpha_1	simulation11
1.34349675877947	alpha_1	simulation11
1.73375656387449	alpha_1	simulation11
0.727630108616503	alpha_1	simulation11
-0.046659115804374	alpha_1	simulation11
-0.0957630619442387	alpha_1	simulation11
-0.04721643876812	alpha_1	simulation11
-0.0574932954844661	alpha_1	simulation11
-0.0647869979498434	alpha_1	simulation11
3.66694901913042	alpha_1	simulation11
0.00330573079537986	alpha_1	simulation11
-0.0897734854318898	alpha_1	simulation11
-0.0677676490495396	alpha_1	simulation11
-0.0970918234439496	alpha_1	simulation11
-0.0459355916633136	alpha_1	simulation11
-0.0500944483434739	alpha_1	simulation11
-0.0656953625669476	alpha_1	simulation11
1.49698545843924	alpha_1	simulation11
0.248049899179138	alpha_1	simulation11
0.393098614477291	alpha_1	simulation11
-0.0671360041028422	alpha_1	simulation11
0.946010335285867	alpha_1	simulation11
0.793734664804656	alpha_1	simulation11
0.0110424413060166	alpha_1	simulation11
-0.0320075693788348	alpha_1	simulation11
1.81352333096576	alpha_1	simulation11
0.201755009004423	alpha_1	simulation11
1.77374710488469	alpha_1	simulation11
-0.00215566496678583	alpha_1	simulation11
-0.0691990552221213	alpha_1	simulation11
-0.0509130082390177	alpha_1	simulation11
-0.0496695355236196	alpha_1	simulation11
-0.0584873184612177	alpha_1	simulation11
2.36808539887941	alpha_1	simulation11
0.255998327834187	alpha_1	simulation11
0.786780563779516	alpha_1	simulation11
0.255946900171224	alpha_1	simulation11
-0.0677719252057188	alpha_1	simulation11
-0.0496230287170667	alpha_1	simulation11
-0.0552953616128503	alpha_1	simulation11
-0.0662723701053788	alpha_1	simulation11
2.786814647792	alpha_1	simulation11
0.048851428930832	alpha_1	simulation11
0.360278022202471	alpha_1	simulation11
0.00911269590188598	alpha_1	simulation11
-0.074636593851359	alpha_1	simulation11
0.390511074714164	alpha_1	simulation11
-0.0492164515252678	alpha_1	simulation11
-0.0533505375713746	alpha_1	simulation11
0.923018551784473	alpha_1	simulation11
2.06791901848057	alpha_1	simulation11
0.440302839298137	alpha_1	simulation11
-0.0559105269342646	alpha_1	simulation11
0.0283813646983967	alpha_1	simulation11
0.245142792725008	alpha_1	simulation11
-0.0271498362825103	alpha_1	simulation11
-0.0620052294689289	alpha_1	simulation11
0.612250434344162	alpha_1	simulation11
0.820999178736214	alpha_1	simulation11
0.125596897242373	alpha_1	simulation11
2.07457832132401	alpha_1	simulation11
-0.021634412824562	alpha_1	simulation11
-0.0297675888192906	alpha_1	simulation11
-0.0129709599764553	alpha_1	simulation11
-0.0540051620485557	alpha_1	simulation11
2.16498118864196	alpha_1	simulation11
0.359026982712189	alpha_1	simulation11
1.08093604520163	alpha_1	simulation11
0.129899857827479	alpha_1	simulation11
-0.0976176885000117	alpha_1	simulation11
-0.0529168250353339	alpha_1	simulation11
-0.0533392296584186	alpha_1	simulation11
-0.0665120184741627	alpha_1	simulation11
0.177104850845913	alpha_1	simulation11
2.32422794420449	alpha_1	simulation11
1.34692700788985	alpha_1	simulation11
-0.031735791890083	alpha_1	simulation11
0.0177604446275968	alpha_1	simulation11
-0.0469266335013729	alpha_1	simulation11
-0.0596263445636389	alpha_1	simulation11
-0.0720586147492203	alpha_1	simulation11
2.45711450459558	alpha_1	simulation11
0.939242693074996	alpha_1	simulation11
0.190313497618381	alpha_1	simulation11
-0.0244973675302481	alpha_1	simulation11
-0.0107869934775167	alpha_1	simulation11
-0.0463055926353358	alpha_1	simulation11
-0.0506204686248412	alpha_1	simulation11
-0.0697601786879135	alpha_1	simulation11
1.92741501962863	alpha_1	simulation11
1.32660623379937	alpha_1	simulation11
0.419162008754685	alpha_1	simulation11
0.02795407898533	alpha_1	simulation11
-0.105175683410385	alpha_1	simulation11
-0.0467350102340674	alpha_1	simulation11
-0.0564722395951676	alpha_1	simulation11
-0.071294202395364	alpha_1	simulation11
0.988848531603188	alpha_1	simulation11
1.90775392717008	alpha_1	simulation11
0.17923675703009	alpha_1	simulation11
0.0682613699560738	alpha_1	simulation11
0.643200257721728	alpha_1	simulation11
-0.0317127764639676	alpha_1	simulation11
-0.0556459094856409	alpha_1	simulation11
-0.0644814044397748	alpha_1	simulation11
2.10940647596868	alpha_1	simulation11
0.128053737473689	alpha_1	simulation11
0.343706556618474	alpha_1	simulation11
0.532967634487888	alpha_1	simulation11
0.177315088849423	alpha_1	simulation11
0.259712986420649	alpha_1	simulation11
-0.0157912905593175	alpha_1	simulation11
-0.0292415007605892	alpha_1	simulation11
2.76244016409761	alpha_1	simulation11
0.673446460385678	alpha_1	simulation11
-0.070495252081164	alpha_1	simulation11
0.0708215828044468	alpha_1	simulation11
-0.0706644293505445	alpha_1	simulation11
-0.0138615179877195	alpha_1	simulation11
-0.0476321715394511	alpha_1	simulation11
0.0288332200253625	alpha_1	simulation11
0.198824176597231	alpha_1	simulation11
0.16324666154628	alpha_1	simulation11
3.26861938620507	alpha_1	simulation11
0.302885744755468	alpha_1	simulation11
0.00385781894664217	alpha_1	simulation11
0.0127689777232229	alpha_1	simulation11
-0.0527748479015465	alpha_1	simulation11
-0.0603258229338469	alpha_1	simulation11
1.38887137945889	alpha_1	simulation11
1.59348802576337	alpha_1	simulation11
0.2933987839099	alpha_1	simulation11
0.140574377755041	alpha_1	simulation11
0.149255114531918	alpha_1	simulation11
0.0607288835573645	alpha_1	simulation11
-0.0520330478231857	alpha_1	simulation11
-0.0518839359482696	alpha_1	simulation11
1.35515441131909	alpha_1	simulation11
1.34061034772825	alpha_1	simulation11
0.0830187303548122	alpha_1	simulation11
0.530677980908676	alpha_1	simulation11
0.33741805930403	alpha_1	simulation11
0.0210855575019009	alpha_1	simulation11
-0.0567617752425562	alpha_1	simulation11
-0.0683130380790633	alpha_1	simulation11
0.451996133668715	alpha_1	simulation11
0.666587878643623	alpha_1	simulation11
0.747328754194267	alpha_1	simulation11
0.94400634957759	alpha_1	simulation11
0.796821401164644	alpha_1	simulation11
0.0527859704152641	alpha_1	simulation11
0.00732123876147969	alpha_1	simulation11
0.115193559066022	alpha_1	simulation11
2.48050228529465	alpha_1	simulation11
0.719493202433661	alpha_1	simulation11
0.458209165538845	alpha_1	simulation11
-0.0180537449365686	alpha_1	simulation11
-0.0799710866507473	alpha_1	simulation11
-0.0498077075402527	alpha_1	simulation11
-0.0551170266144263	alpha_1	simulation11
-0.0655414837302477	alpha_1	simulation11
0.570956947273459	alpha_1	simulation11
2.89454520975089	alpha_1	simulation11
-0.00626752317183772	alpha_1	simulation11
-0.0147240049081584	alpha_1	simulation11
0.0198164755055874	alpha_1	simulation11
0.169465058551778	alpha_1	simulation11
-0.03318577103003	alpha_1	simulation11
-0.0702497245809211	alpha_1	simulation11
2.78316255934266	alpha_1	simulation11
0.2393773347229	alpha_1	simulation11
-0.0634150617702506	alpha_1	simulation11
0.43704395603344	alpha_1	simulation11
-0.0725791417132541	alpha_1	simulation11
-0.006882125322063	alpha_1	simulation11
-0.0471499793688384	alpha_1	simulation11
0.066382791240087	alpha_1	simulation11
1.28647989465957	alpha_1	simulation11
2.5828330850649	alpha_1	simulation11
-0.0969873048498527	alpha_1	simulation11
-0.0676182749576096	alpha_1	simulation11
