diff	method	para
0.656822606744063	alpha_1	simulation9
0.0745040138788512	alpha_1	simulation9
-0.0273001529436886	alpha_1	simulation9
-0.022184950334799	alpha_1	simulation9
-0.0261523191684488	alpha_1	simulation9
-0.0115785893382169	alpha_1	simulation9
-0.0163893654396512	alpha_1	simulation9
-0.0232590589080171	alpha_1	simulation9
0.136266218397877	alpha_1	simulation9
0.14987520586579	alpha_1	simulation9
0.139420525082489	alpha_1	simulation9
0.201979358530091	alpha_1	simulation9
-0.0251755356928517	alpha_1	simulation9
-0.0142137619503468	alpha_1	simulation9
-0.018366593549574	alpha_1	simulation9
-0.0225011336483416	alpha_1	simulation9
0.032740055159567	alpha_1	simulation9
0.532622934478638	alpha_1	simulation9
0.0475862730355064	alpha_1	simulation9
-0.0188968751094806	alpha_1	simulation9
-0.0136813041651369	alpha_1	simulation9
-0.00708893525261985	alpha_1	simulation9
-0.00826895272512636	alpha_1	simulation9
-0.0194085950066881	alpha_1	simulation9
0.0160382998933438	alpha_1	simulation9
0.556622674317249	alpha_1	simulation9
0.0142851376775398	alpha_1	simulation9
-0.0217440251487036	alpha_1	simulation9
0.0205492239149197	alpha_1	simulation9
-0.00610019534744357	alpha_1	simulation9
-0.0123635398642586	alpha_1	simulation9
-0.0239159061455243	alpha_1	simulation9
0.308671827402285	alpha_1	simulation9
0.0451514557605143	alpha_1	simulation9
0.0420352961938575	alpha_1	simulation9
0.206135019612918	alpha_1	simulation9
-0.00987384450283462	alpha_1	simulation9
-0.00460140008473908	alpha_1	simulation9
-0.00722328629771687	alpha_1	simulation9
-0.0165109700996376	alpha_1	simulation9
0.0791379400299881	alpha_1	simulation9
0.0277668338482356	alpha_1	simulation9
0.140240397173555	alpha_1	simulation9
0.320257607761972	alpha_1	simulation9
-0.0160411075877557	alpha_1	simulation9
0.014744869314591	alpha_1	simulation9
-0.0120530312022651	alpha_1	simulation9
-0.0192767807524097	alpha_1	simulation9
0.576719992080394	alpha_1	simulation9
0.147484858455384	alpha_1	simulation9
-0.0242359400285722	alpha_1	simulation9
-0.0237283966720466	alpha_1	simulation9
-0.0266513473740398	alpha_1	simulation9
-0.0126753103930562	alpha_1	simulation9
-0.0169025879392337	alpha_1	simulation9
-0.0223120855127839	alpha_1	simulation9
0.610058432954959	alpha_1	simulation9
0.093352024040365	alpha_1	simulation9
-0.0132366391180597	alpha_1	simulation9
-0.0148404783807962	alpha_1	simulation9
-0.0242289627014878	alpha_1	simulation9
-0.0118342698244998	alpha_1	simulation9
-0.0171504099860306	alpha_1	simulation9
-0.0229995053862388	alpha_1	simulation9
0.313792705529327	alpha_1	simulation9
0.384842338476934	alpha_1	simulation9
-0.020047164728199	alpha_1	simulation9
-0.0199985383419331	alpha_1	simulation9
-0.0258882404311574	alpha_1	simulation9
-0.0131039353052506	alpha_1	simulation9
-0.0178607796095372	alpha_1	simulation9
-0.023957505617633	alpha_1	simulation9
0.381011416546094	alpha_1	simulation9
0.332325680175975	alpha_1	simulation9
-0.026131822227693	alpha_1	simulation9
-0.0221574131370923	alpha_1	simulation9
-0.0260987690401617	alpha_1	simulation9
-0.0138220640689775	alpha_1	simulation9
-0.0186663088137936	alpha_1	simulation9
-0.0231581430721906	alpha_1	simulation9
0.678667474609733	alpha_1	simulation9
0.032432594120836	alpha_1	simulation9
-0.0261973779129906	alpha_1	simulation9
-0.0181566308479709	alpha_1	simulation9
-0.0249315134128031	alpha_1	simulation9
-0.000908682372009677	alpha_1	simulation9
-0.014884163579825	alpha_1	simulation9
-0.0231303952055408	alpha_1	simulation9
0.349122720562882	alpha_1	simulation9
0.0696205156095694	alpha_1	simulation9
0.079345416990754	alpha_1	simulation9
0.0433336273999793	alpha_1	simulation9
0.00771229720118672	alpha_1	simulation9
0.0324200387751685	alpha_1	simulation9
-0.00866256612662079	alpha_1	simulation9
-0.0132985912818496	alpha_1	simulation9
0.696260618440992	alpha_1	simulation9
-0.00028982430905182	alpha_1	simulation9
-0.015408339192591	alpha_1	simulation9
-0.0195504381761398	alpha_1	simulation9
-0.0134197156493737	alpha_1	simulation9
-0.011195000089807	alpha_1	simulation9
-0.0117440377953059	alpha_1	simulation9
-0.0216062603943401	alpha_1	simulation9
0.626462034275406	alpha_1	simulation9
0.0131502451646761	alpha_1	simulation9
-0.0129144023997419	alpha_1	simulation9
-0.00819222802120665	alpha_1	simulation9
-0.00459571041922606	alpha_1	simulation9
-0.0118349539524467	alpha_1	simulation9
-0.00300201211382109	alpha_1	simulation9
-0.00332071720338476	alpha_1	simulation9
0.625079339272281	alpha_1	simulation9
0.0759175258245342	alpha_1	simulation9
-0.0272267089226388	alpha_1	simulation9
-0.013322552427024	alpha_1	simulation9
-0.0146284209508437	alpha_1	simulation9
-0.0073036671623009	alpha_1	simulation9
-0.0164047790177337	alpha_1	simulation9
-0.0232546989209177	alpha_1	simulation9
-0.00868810067064721	alpha_1	simulation9
0.144129283229376	alpha_1	simulation9
0.454798746726912	alpha_1	simulation9
-0.0192361577708473	alpha_1	simulation9
-0.00245897276011974	alpha_1	simulation9
-0.0115030885844885	alpha_1	simulation9
-0.0186264346685767	alpha_1	simulation9
-0.0226313188579342	alpha_1	simulation9
0.265972068437101	alpha_1	simulation9
0.305172737536572	alpha_1	simulation9
0.0959898041808368	alpha_1	simulation9
-0.0191323656166327	alpha_1	simulation9
-0.0261823687939907	alpha_1	simulation9
-0.0144006764716338	alpha_1	simulation9
-0.01895148398511	alpha_1	simulation9
-0.0223517536736492	alpha_1	simulation9
0.74927401792244	alpha_1	simulation9
-0.0101335038405733	alpha_1	simulation9
-0.0300917291259057	alpha_1	simulation9
-0.0224100896367683	alpha_1	simulation9
-0.0253169774020615	alpha_1	simulation9
-0.0113447252548034	alpha_1	simulation9
-0.0162920093862392	alpha_1	simulation9
-0.0218763434488959	alpha_1	simulation9
0.299313229500626	alpha_1	simulation9
0.0332207618117405	alpha_1	simulation9
0.0450496881164896	alpha_1	simulation9
-0.0232574698087764	alpha_1	simulation9
0.102020251930295	alpha_1	simulation9
0.10199484874416	alpha_1	simulation9
-0.00683442095291291	alpha_1	simulation9
-0.0157596871407055	alpha_1	simulation9
0.363573607655369	alpha_1	simulation9
0.0257245641795543	alpha_1	simulation9
0.256652010959163	alpha_1	simulation9
-0.0118706079356516	alpha_1	simulation9
-0.0212433055069286	alpha_1	simulation9
-0.014034776966078	alpha_1	simulation9
-0.0173994416546484	alpha_1	simulation9
