Mixture	celltype 1	celltype 2	celltype 3	celltype 4	celltype 5	celltype 6	celltype 7	celltype 8	P-value	Correlation	RMSE	Absolute score (sig.score)
ID1	1.17399316279123	0.14745403443821	0	0	0	0	0	0	0	0.995689684259762	0.104404835698589	1.32144719722944
ID2	0.254604848122018	0.276535001411159	0.287925446485857	0.381520764437631	0	0	0	0	0	0.986603053791381	0.508489931025166	1.20058606045666
ID3	0.0778576628174962	0.868054384060737	0.10939801906937	0.000272755293788555	0	0.000198884696124152	0.0137006276220113	0.00663571439759063	0	0.992057570499455	0.369151286996173	1.07611804795712
ID4	0.0432740469665425	0.924367564223557	0.0588745142826616	0	0.0409211831492416	0.00453235749331373	0	0	0	0.993098551283882	0.342594426789824	1.07196966611532
ID5	0.608043860627785	0.112771452065323	0.116363024635058	0.45389544950937	0	0.00217454954444053	0	0	0	0.993475803489909	0.358352800327919	1.29324833638198
ID6	0.157638991609697	0.0875361908672982	0.313444713939545	0.652622533397457	0	0.0379179447617513	0	0	0	0.990667041292107	0.428862646537922	1.24916037457575
ID7	1.02065637270996	0.260383983045414	0	0	0	0	0	0	0	0.995582469000347	0.108945655279688	1.28104035575538
ID8	1.12376694333497	0.191570440051633	0	0	0	0	0	0	0	0.99554891035151	0.100057192359336	1.31533738338661
ID9	0.52988564663637	0.653972524383152	0	0	0	0	0	0	0	0.994000036091074	0.284197314666248	1.18385817101952
ID10	0.640782800231382	0.561826457469024	0	0	0	0	0	0	0	0.994300519028834	0.249232074191577	1.20260925770041
ID11	1.27466792233473	0.0688149183567396	0	0.000980539942490288	0	0	0	0	0	0.996098079513495	0.129230564155758	1.34446338063396
ID12	0.707039395629041	0.13989699668898	0.207886337674058	0.125979770672591	0.0148511439546918	0.0776030832600549	0	0	0	0.993590653328941	0.332040406053976	1.27325672787942
ID13	1.34738548193787	0	0.000663705759913662	0	0	0	0	0	0	0.996538537166209	0.163176884081929	1.34804918769778
ID14	1.27121863913008	0.0258726871302287	0	0.00579019876809098	0.0162053912192476	0	0.00503296166352666	0.00944982380625556	0	0.996562466575151	0.128160029089222	1.33356970171743
ID15	1.1637728999253	0.145442767835194	0	0.00335735306403312	0	0	0	0	0	0.996396900002993	0.096766718705141	1.31257302082453
ID16	0.016004229451617	0.251220595713249	0.829737876233103	0	0	0	0	0	0	0.993165672908478	0.363215844696883	1.09696270139797
ID17	0.454578878919452	0.515522463290489	0.20100632885039	0	0	0	0	0	0	0.990713432629614	0.374686929652653	1.17110767106033
ID18	1.36355630135144	0	0	0	0	0	0	0	0	0.996209280237202	0.16582327347473	1.36355630135144
ID19	0.604253706735224	0.0670021160956931	0.116861514109484	0	0.241849509743683	0.24419100988701	0	0	0	0.992201575809921	0.370635083910552	1.27415785657109
ID20	0.650119653222018	0.0462311805302757	0.535169992375218	0.00574580846971556	0	0	0	0	0	0.993056043646208	0.286793300220658	1.23726663459723
ID21	0.879279701455864	0.0748053696583683	0.238536269350047	0.0893418106436349	0	0	0	0	0	0.994107420048799	0.208868452610483	1.28196315110791
